compound,Alias,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,isomeric,inchikey,cid,status,year_clean,Edward Score V22,Rationale V22,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob V22,P1 Rationale V22,P2 Prob V22,P2 Rationale V22,P3 Prob V22,P3 Rationale V22,TCSP V22,salah_verdict,biological_risk
Armodafinil,,Wakefulness agent,DAT inhibition (R-enantiomer of modafinil),Narcolepsy,Approved,2007,,,approved,CNS,,approved_control,Approved controls (success),C1=CC=C(C=C1)C(C2=CC=CC=C2)[S@](=O)CC(=O)N,YFGHCGITMMYXAQ-LJQANCHMSA-N,9690109,OK,2007.0,78,"Physicochemically, this molecule presents a deceptive profile. With a MW of ~273 and cLogP ~1.2, it appears to be an ideal 'Lead-like' fragment. However, as a clinical candidate, it is chemically inefficient. The structure relies almost entirely on a non-specific hydrophobic collapse of the diphenylmethane motif for binding, lacking precise polar vectors to drive nanomolar potency. This necessitates the 'Dose Burden' highlighted in the advisory (100-200mg), which is unacceptable for a modern CNS NCE. A daily intake of 0.2g of a synthetic organic puts immense stress on hepatic clearance mechanisms, turning the sulfoxide moiety into a metabolic toggle switch (oxidation to sulfone, reduction to sulfide) and driving DDI liabilities. The Bio-Advisory regarding SJS/TEN is the critical failure point; immune-mediated toxicity in a lifestyle/QoL indication is a non-starter. This is a low-potency fragment requiring 'food-group' dosing, carrying a Black Box liability. Tox Summary: Not Clean (High dose burden + Immune-mediated dermal toxicity risk).",Medium,"Sulfinyl-acetamide (SJS/TEN alert), Diphenylmethane (Promiscuity/Lipophilicity without vectors)",0.65,"Phase 1 safety is compromised by the high dose requirement. While acute toxicity might be manageable, the metabolic load and potential for enzyme induction/inhibition create a complex DDI profile. Rare dermal events likely won't appear in small n cohorts.",0.45,"Target engagement is likely achievable but requires high plasma concentrations. The efficacy is validated, but the therapeutic window is narrowed by the side-effect profile associated with such high exposures.",0.1,"The commercial viability is decimated by the SJS/TEN risk. Even if it passes efficacy endpoints, a Black Box warning for life-threatening skin reactions in a wakefulness agent is a commercial death sentence.",0.029,CAUTION,"This molecule is the Modafinil scaffold (specifically the S-enantiomer or racemate). While the target (atypical DAT/NET inhibition + Orexin modulation) is clinically validated for wakefulness, the biological cost of this scaffold is non-trivial. 1) DOSE BURDEN: This mechanism requires high CNS occupancy, necessitating massive daily doses (100-200mg). This violates the low-dose directive, turning the liver into a metabolic furnace (CYP3A4 induction / CYP2C19 inhibition) and creating a nightmare for drug-drug interactions. 2) IDIOSYNCRATIC TOXICITY: This specific sulfinyl-acetamide class carries a historical 'Black Box' liability for Stevens-Johnson Syndrome (SJS) and Toxic Epidermal Necrolysis (TEN). While not a target graveyard, the safety margin is defined by rare, catastrophic immune events rather than clean pharmacology."
Levetiracetam,,SV2A modulator,Synaptic vesicle protein 2A (SV2A),Epilepsy,Approved,1999,,,approved,CNS,,approved_control,Approved controls (success),CC[C@@H](C(=O)N)N1CCCC1=O,HPHUVLMMVZITSG-LURJTMIESA-N,5284583,OK,1999.0,4,"This molecule is a physicochemical anomaly in the CNS space, effectively a 'polar fragment' (MW < 180) masquerading as a drug. While the Bio-Advisory indicates a high dose requirement—implying modest (micromolar) intrinsic potency—the structure is immune to the typical penalties of high-dose therapy. With a cLogP likely below zero and zero aromatic rings, it completely evades the 'Rule of Two' for DILI (High LogP + High Dose). The absence of a basic amine or lipophilic cluster renders hERG inhibition physically impossible. Metabolic clearance will be driven by amidase-mediated hydrolysis and renal elimination, bypassing the hepatic CYP450 system entirely. This is 'Chemical Water': highly soluble, permeable via transporters or paracellular routes, and devoid of structural toxicity alerts. It prioritizes safety and developability over raw affinity. Tox Summary: Clean.",High,"None (Primary amide susceptible to hydrolysis, but non-toxic)",0.95,"Physicochemical profile (MW < 200, cLogP < 0) virtually guarantees safety. No hERG, no CYP inhibition, no lipophilic accumulation.",0.75,Target is validated (SV2A). Excellent solubility and permeability ensure high CNS exposure to drive target occupancy despite lower affinity.,0.6,"Clean safety profile supports chronic dosing. Commercial success depends on differentiation, but the molecule itself has no fatal flaws.",0.43,ELITE,"This is Levetiracetam. The target, SV2A, is fully validated clinically for epilepsy. While the clinical dose is massive (often >1000mg/day), which usually triggers my 'High Dose = DILI' alarm, this specific scaffold cheats the system. It relies on renal excretion and non-CYP hydrolysis, effectively bypassing the hepatic meat-grinder. Biological risk is minimal regarding organ toxicity, though neuropsychiatric adverse events ('Keppra rage') remain a mechanism-based liability."
Brivaracetam,,SV2A modulator,Synaptic vesicle protein 2A (SV2A),Epilepsy,Approved,2016,,,approved,CNS,,approved_control,Approved controls (success),CCC[C@@H]1CC(=O)N(C1)[C@@H](CC)C(=O)N,MSYKRHVOOPPJKU-BDAKNGLRSA-N,9837243,OK,2016.0,3,"This structure is a masterclass in Ligand Efficiency (LE). With a MW ~212 and implied high affinity, it defies the modern trend of 'molecular obesity' in drug discovery. The propyl substituent acts as a precise hydrophobic vector rather than generic 'grease', likely filling a specific pocket to drive potency without blowing up the cLogP (est. ~1.6). The physicochemical profile is pristine for CNS penetration (TPSA ~63, no ionization issues). Structurally, it is devoid of the hERG pharmacophore (no basic amine, no aromatic linker) and lacks reactive toxicophores. The primary amide serves as a predictable metabolic handle (amidase hydrolysis), effectively sidestepping complex CYP-mediated DILI risks and reactive metabolite formation. This is a 'naked' pharmacophore—efficient, soluble, and chemically elegant. Tox Summary: Clean.",High,None identified,0.92,"Structure is devoid of structural alerts, hERG pharmacophores, or lipophilic toxicity triggers. Metabolic route (hydrolysis) is generally high-capacity and low-tox.",0.65,"Validated mechanism (SV2A) combined with optimal CNS exposure properties (low MW, ideal LogP) maximizes probability of target engagement.",0.45,"Manageable dosing regimen (due to high affinity) and clean safety profile support chronic use, though class-wide CNS neuropsychiatric effects remain the only commercial friction point.",0.27,ELITE,"This structure corresponds to Brivaracetam, a high-affinity SV2A ligand. Biologically, this is the 'Goldilocks' zone of CNS drug development. Unlike its predecessor Levetiracetam, which requires gram-level dosing (massive systemic burden), the propyl-substitution here increases affinity significantly, allowing for a clinical dose range (50-200mg) that respects the liver's capacity. The mechanism is clinically validated for epilepsy. The metabolic pathway is primarily hydrolysis (amidase-mediated) rather than heavy CYP dependence, minimizing DILI risk. The only biological tax is the class-wide neuropsychiatric liability (irritability/aggression), but this is a manageable on-target effect, not a toxicological cliff."
Lacosamide,,Na+ channel modulator,Slow inactivation of voltage-gated Na+ channels; also binds to CRMP2,Epilepsy,Approved,2008,,,approved,CNS,,approved_control,Approved controls (success),CC(=O)N[C@H](COC)C(=O)NCC1=CC=CC=C1,VPPJLAIAVCUEMN-GFCCVEGCSA-N,219078,OK,2008.0,34,"This molecule is a masterclass in property-based design, effectively a 'Trojan Horse' functionalized amino acid that bypasses the Blood-Brain Barrier (BBB) via physicochemical stealth rather than brute lipophilicity. With a MW ~250 and cLogP < 1, it completely avoids the 'Grease Tax' and 'Phospholipidosis' traps common in CNS discovery. The absence of a basic amine eliminates the classic hERG pharmacophore, aligning with the 'slow inactivation' mechanism which does not require the cationic pore-blocking moiety of older generation NaV blockers. However, the molecule is not without sin: the lack of a complex pharmacophore implies low binding enthalpy (likely µM potency), necessitating the 'bucket chemistry' dosing (200-400mg) flagged in the advisory. While the structure is chemically benign, such high systemic burdens invariably recruit off-target liabilities (e.g., PR prolongation via cardiac NaV1.5 overlap) simply through mass action. It is a 'Survivor' because it is chemically bulletproof, but it is not 'Elite' in potency. Tox Summary: Clean.",High,None (Benign peptidomimetic scaffold; O-dealkylation is primary soft spot),0.92,Chemically inert scaffold with no structural alerts suggests excellent safety profile in healthy volunteers. High solubility aids formulation.,0.65,"Mechanism is validated, but the therapeutic window is narrowed by the high Cmax required for efficacy vs. CNS/Cardiac adverse events.",0.55,"Differentiation from cheap generic NaV blockers relies entirely on the safety profile, which is threatened by the high dose requirement.",0.33,ELITE,"The molecule is Lacosamide (or a close analog), a Functionalized Amino Acid targeting the slow inactivation state of Voltage-Gated Sodium Channels (VGSC). Unlike the 'graveyard' of non-selective NaV blockers that rely on fast inactivation (and carry heavy CYP induction/DILI baggage), this mechanism is clinically validated and cleaner. However, the biological reality is that low-affinity modulation requires massive daily doses (200-400mg). While the physicochemical profile (low LogP) spares the liver from lipophilic toxicity, the high systemic burden guarantees dose-limiting CNS adverse events (dizziness, ataxia) and cardiac conduction risks (PR prolongation). It is a survivor, not a ghost."
Perampanel,,AMPA antagonist,AMPA-type glutamate receptors,Epilepsy,Approved,2012,,,approved,CNS,,approved_control,Approved controls (success),C1=CC=C(C=C1)N2C=C(C=C(C2=O)C3=CC=CC=C3C#N)C4=CC=CC=N4,PRMWGUBFXWROHD-UHFFFAOYSA-N,9924495,OK,2012.0,64,"Structurally, this molecule is a 'Grease Brick'—a rigid, planar, tri-aryl scaffold that screams solubility challenges (Brick Dust). While the physicochemical parameters are deceptively perfect for CNS penetration (MW ~350, TPSA ~55, HBD=0), the molecule relies entirely on hydrophobic collapse for affinity (cLogP ~4.0), triggering a significant 'Grease Tax'. The complete lack of sp3 complexity (Fsp3 near zero) suggests promiscuity and poor physical properties. Metabolically, the exposed phenyl ring is a CYP sponge, likely driving high intrinsic clearance masked only by a massive Volume of Distribution. However, the chemistry is secondary to the Bio-Advisory: we have successfully engineered a missile that penetrates the BBB, but the payload is mechanism-based neurotoxicity. The 30-point penalty is applied because efficient delivery of a target-mediated psychotoxin (aggression/hostility) is a medicinal chemistry failure, regardless of potency. Tox Summary: Not Clean (Mechanism-Based CNS Toxicity).",Medium,"Exposed Phenyl (CYP Hydroxylation), High Aromatic Burden (Promiscuity)",0.75,"Physicochemical properties ensure high exposure. Low projected dose (<12mg) mitigates DILI/structural tox, but CNS adverse events (dizziness/ataxia) will be dose-limiting.",0.55,"Efficacy is probable given the validated target and high brain penetration, but the therapeutic window will be razor-thin due to behavioral toxicity.",0.2,"The 'Black Box' profile for neuropsychiatric events (homicidal ideation) creates a massive regulatory barrier and commercial liability, severely capping approval chances.",0.08,CAUTION,"This structure corresponds to Perampanel, a non-competitive AMPA receptor antagonist. While the target is validated for refractory epilepsy, the biological cost is severe. The mechanism is intrinsically linked to serious neuropsychiatric toxicity, necessitating a 'Black Box' warning for aggression, hostility, and homicidal ideation. Unlike historical competitive AMPA antagonists which failed due to poor physicochemical properties and nephrotoxicity, this lipophilic allosteric modulator penetrates the CNS effectively but possesses a narrow therapeutic window limited by CNS adverse events (dizziness, ataxia, behavioral changes). The low clinical dose (<12 mg) mitigates DILI risk, but the 'Brain Toxicity' remains a significant clinical liability."
Zonisamide,,Sodium channel modulator,Voltage-gated Na+ and T-type Ca2+ channels; carbonic anhydrase inhibition,Epilepsy,Approved,2000,,,approved,CNS,,approved_control,Approved controls (success),C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,UBQNRHZMVUUOMG-UHFFFAOYSA-N,5734,OK,2000.0,78,"This molecule represents a 'primitive' medicinal chemistry approach that fails modern selectivity filters. While the ultra-low MW (~212 Da) suggests high ligand efficiency, the structure relies on a primary sulfonamide moiety, which is a non-negotiable liability for a CNS program. This group acts as a zinc-binding warhead for Carbonic Anhydrase (CA), guaranteeing off-target effects such as metabolic acidosis and nephrolithiasis (kidney stones), as noted in the bio-advisory. Furthermore, the sulfonamide is a classic structural alert for idiosyncratic hypersensitivity (SJS/TEN). The physicochemical profile (low cLogP, high TPSA relative to MW) indicates poor passive BBB permeability, necessitating high daily doses to drive central occupancy. This 'brute force' dosing strategy, combined with the inherent reactivity of the benzisoxazole N-O bond (reductive ring opening risk), creates a narrow therapeutic window. The molecule is essentially a fragment masquerading as a drug, lacking the necessary decoration to ensure target specificity. Tox Summary: Not Clean.",Medium,"Primary Sulfonamide (Carbonic Anhydrase binding, Hypersensitivity/SJS alert), Benzisoxazole (Reductive ring opening liability)",0.55,"Safety margins will be tight. The requirement for high doses to penetrate the CNS, combined with the sulfonamide moiety, creates a significant risk of cutaneous reactions and crystalluria/renal issues in Phase 1 volunteers.",0.35,"While the target (NaV) is validated, the molecule's lack of selectivity (CA inhibition) and poor BBB efficiency will likely result in dose-limiting side effects (ataxia, somnolence, metabolic acidosis) before therapeutic efficacy is maximized.",0.15,"Chronic administration poses unacceptable risks for a modern NCE, specifically kidney stone formation and the statistical certainty of severe hypersensitivity reactions in a larger population.",0.028,CAUTION,"The target (Voltage-gated Sodium Channels) is clinically validated for epilepsy, removing the 'graveyard' risk associated with novel targets like BACE1. However, this specific scaffold (benzisoxazole methane sulfonamide, i.e., Zonisamide) carries significant biological baggage. 1) The primary sulfonamide moiety guarantees off-target Carbonic Anhydrase inhibition, creating a high liability for nephrolithiasis (kidney stones) and metabolic acidosis. 2) Sulfonamides are a structural alert for idiosyncratic hypersensitivity reactions (SJS/TEN). 3) Sodium channel blockers in the CNS typically require high daily doses (>100mg) to achieve therapeutic occupancy against the blood-brain barrier, placing a metabolic burden on the liver and narrowing the therapeutic index regarding CNS depression (ataxia, somnolence)."
Pregabalin,,Calcium channel modulator,_2__ subunit of voltage-gated Ca2+ channels,Epilepsy,Approved,2004,,,approved,CNS,,approved_control,Approved controls (success),CC(C)C[C@@H](CC(=O)O)CN,AYXYPKUFHZROOJ-ZETCQYMHSA-N,5486971,OK,2004.0,18,"This molecule is a medicinal chemistry paradox: chemically 'boring' yet clinically 'elite'. Structurally, it is a simple, chiral gamma-amino acid derivative (leucine mimic) with a zwitterionic character that precludes passive BBB permeability; it must hijack active transport systems (likely LAT1) to function in the CNS. From a pure potency standpoint, the scaffold is inefficient, lacking the binding energy features to drive nanomolar affinity, which explains the 'massive dose burden' (>300mg) flagged in the advisory. Typically, such a high dose is a death sentence for DILI (Rule of Two). However, the structure lacks any metabolic handles—no aromatic rings for oxidation, no lipophilic grease for CYP binding. It is a 'Teflon' molecule: highly soluble, metabolically inert, and destined for renal excretion unchanged. This specific ADME profile nullifies the toxicity risks usually associated with low-potency/high-dose compounds. It is a blunt instrument, but a safe one. Tox Summary: Clean.",High,None,0.92,"Structure is essentially an aliphatic amino acid. Zero structural alerts, no hERG pharmacophore, and renal clearance profile suggests minimal Phase 1 safety risk.",0.65,Target is validated and distinct from high-failure mechanisms. Success hinges entirely on the efficiency of the transporter-mediated CNS uptake to achieve relevant occupancy.,0.55,"The 'renal escape' route eliminates hepatic safety signals (DILI) that plague chronic CNS drugs. Main risks are exaggerated pharmacology (somnolence), not organ toxicity.",0.33,ELITE,"The target (Voltage-Gated Calcium Channel alpha2-delta subunit) is clinically validated and distinct from the 'graveyard' targets like BACE or TRPV1. While the molecule (Pregabalin) is a low-potency amino acid analog requiring a massive clinical dose burden (>300mg/day), it possesses a 'Get Out of Jail Free' card: it is renally excreted unchanged. It bypasses hepatic metabolism entirely, nullifying the standard 'High Dose = DILI' risk correlation. The primary biological liabilities are mechanism-based CNS depression (somnolence) and peripheral edema, which are manageable compared to organ toxicity."
Rufinamide,,Na+ channel modulator,Prolongation of the inactive state of voltage-gated Na+ channels,Epilepsy,Approved,2008,,,approved,CNS,,approved_control,Approved controls (success),C1=CC(=C(C(=C1)F)CN2C=C(N=N2)C(=O)N)F,POGQSBRIGCQNEG-UHFFFAOYSA-N,129228,OK,2008.0,68,"This structure presents a medicinal chemistry paradox. Physicochemically, it appears to be a CNS aristocrat: MW ~238, cLogP < 1.0, and a TPSA (~75 Å²) perfectly tuned for blood-brain barrier penetration. The 2,6-difluorobenzyl shield is a textbook maneuver to block metabolic oxidation at the benzylic and ring positions, and the 1,2,3-triazole serves as a robust, non-hydrolyzable bioisostere for a benzamide. However, structurally, this is a fragment, not a clinical candidate. The extremely low molecular weight combined with the Bio-Advisory's note on gram-level dosing (3200 mg/day) confirms a fatal flaw: negligible intrinsic potency. You are attempting to drown the receptor rather than bind to it. While this avoids the 'Grease Tax' (lipophilicity is low), it incurs a massive 'Volume Tax.' Introducing grams of xenobiotic daily saturates clearance mechanisms and invites idiosyncratic immune activation (DRESS) and off-target ion channel promiscuity (QT issues). In a modern pipeline, a molecule requiring this dose is a failure of lead optimization. Tox Summary: Not Clean (due to Dose Burden).",High,"1,2,3-Triazole (potential CYP heme coordination), Primary Carboxamide (hydrolysis risk at high conc), High-Dose Burden (Idiosyncratic DRESS/Immune activation risk)",0.7,"Acute safety should be passable due to low lipophilicity and lack of 'hard' toxicophores, but tolerability at high dose escalation will be the limiting factor.",0.4,"Target engagement is validated (NaV), but the therapeutic window will be non-existent. Efficacy requires pushing exposure to limits where CNS side effects (dizziness, ataxia) usually cap dosing.",0.2,The 'Gram-Level' dose is a statistical generator for rare adverse events. Idiosyncratic toxicity (DRESS) and cardiac safety signals will likely erode the commercial profile significantly.,0.65,CAUTION,"The target (Voltage-gated Sodium Channel modulation) is clinically validated for epilepsy, distinguishing it from graveyard targets like BACE1. However, this specific molecule (Rufinamide) is a biological brute-force instrument. It suffers from low potency, necessitating massive clinical doses (up to 3200 mg/day) to achieve therapeutic CNS occupancy. This gram-level xenobiotic burden violates the fundamental safety principle of minimizing liver exposure, directly correlating with observed risks of Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS) and QT shortening. While effective for refractory Lennox-Gastaut, the safety margin is narrow due to the sheer mass of drug required."
Clobazam,,Benzodiazepine,"GABA_A receptor (1,4-benzodiazepine structure)",Epilepsy,Approved,2011,,,approved,CNS,,approved_control,Approved controls (success),CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,CXOXHMZGEKVPMT-UHFFFAOYSA-N,2789,OK,2011.0,22,"This molecule is a masterclass in CNS physicochemical property design. With a MW ~300, cLogP ~2.5, and TPSA ~40, it sits in the absolute 'Goldilocks Zone' for blood-brain barrier penetration. Structurally, the shift from the classical 1,4-benzodiazepine imine to the 1,5-diazepine-2,4-dione core is a brilliant medicinal chemistry maneuver. It eliminates the basic center (pKa modulation), thereby effectively removing the hERG pharmacophore risk and preventing lysosomal trapping (phospholipidosis). The molecule is neutral, rigid, and lacks H-bond donors, maximizing Lipophilic Efficiency (LipE). The N-phenyl and N-methyl groups provide necessary hydrophobic contacts without pushing cLogP into the 'Grease Tax' zone (>5). While N-dealkylation is a predictable metabolic soft spot, it likely yields a stable, potentially active metabolite rather than a toxicophore. Salah's 15-point penalty for target stigma is the only thing keeping this score from single digits. Chemically, it is pristine. Tox Summary: Clean.",Medium,"None (N-phenyl group carries theoretical aniline risk, but amide linkage is stable)",0.92,"Exceptional safety profile predicted. Neutral character eliminates hERG risk. Low MW and high potency suggest a low daily dose (<50mg), minimizing DILI burden.",0.85,Validated GABA-A mechanism combined with optimal CNS exposure properties. Target engagement is virtually guaranteed.,0.7,Chronic safety is likely clean. The primary risks are regulatory (abuse potential/tolerance) rather than chemical toxicity.,0.95,ELITE,"You have presented Clobazam (or a close analogue), a 1,5-benzodiazepine. Unlike the graveyards of BACE1 or the false promises of Neurokinin antagonists, the GABA-A receptor is a clinically undisputed mechanism. Biology is not the risk here; the pathway is validated. The 1,5-dione scaffold offers a critical pharmacological advantage: a wider therapeutic window between anticonvulsant efficacy and sedation compared to classic 1,4-benzodiazepines. The clinical dose (<40mg/day) is low, sparing the liver from the 'heavy burden' toxicity seen with high-occupancy targets. The only biological 'Hard Kill' risks are idiosyncratic skin reactions (SJS/TEN) and mechanism-based tolerance, but these are manageable compared to the catastrophic efficacy failures of novel CNS targets."
Vigabatrin,,GABA-T inhibitor,GABA transaminase (irreversible inhibition),Epilepsy,Approved,2009,,,approved,CNS,,approved_control,Approved controls (success),C=CC(CCC(=O)O)N,PJDFLNIOAUIZSL-UHFFFAOYSA-N,5665,OK,2009.0,96,"This structure represents 'pharmaceutical sand': a low molecular weight (MW ~129), highly polar zwitterion that violates every principle of modern lipophilic efficiency. 1) PHYSICOCHEMICAL FAILURE: With a cLogP near zero/negative, this molecule has zero passive permeability and relies entirely on active transport (likely LAT/GAT systems), introducing massive inter-patient variability. 2) DOSE REALITY: The low MW and likely millimolar potency imply a gram-level daily dose burden, which is a formulation and compliance nightmare. 3) REACTIVE WARHEAD: The vinyl group alpha to the amine is a classic suicide substrate motif designed to covalently trap PLP-dependent enzymes. While this validates the mechanism, the lack of steric bulk or recognition elements guarantees promiscuity against other transaminases. 4) INTEGRATED ADVISORY: As noted by the biological audit, the mechanism-based retinal toxicity is a hard stop. Combining a non-selective covalent warhead with a target prone to catastrophic accumulation toxicity renders this scaffold undevelopable. Tox Summary: NOT CLEAN (Covalent liability + Mechanism-based Retinal Tox).",High,"Vinyl-GABA motif (Michael acceptor precursor), Primary aliphatic amine (PLP trapping)",0.15,High dose requirement (gram quantity) raises immediate safety flags regarding GI tolerance and renal elimination of massive solute loads.,0.1,"While efficacy is mechanistically plausible, the therapeutic window is non-existent due to the visual field constriction liability flagged in the advisory.",0.01,Commercial viability is zero. The 'Black Box' profile described makes this a lawsuit magnet rather than a therapeutic asset.,0.05,TERMINATE,"This molecule is Vigabatrin (gamma-vinyl-GABA). While it validates the target for efficacy in refractory epilepsy, the biological cost is unacceptable for a modern pipeline candidate. 1) DOSE BURDEN: The drug requires massive daily dosing (1g to 3g/day) to achieve sufficient brain GABA-T inhibition, placing immense physiological stress on elimination pathways. 2) MECHANISM-BASED TOXICITY: This target carries a 'Black Box' liability. Chronic GABA-T inhibition leads to GABA accumulation in the retina, causing irreversible bilateral concentric visual field constriction (permanent tunnel vision) in up to 30-40% of patients. Developing a follow-on in this class is clinical suicide unless retinal safety is definitively proven, which is historically impossible."
Stiripentol,,GABA modulator,GABA_A receptor modulation and inhibition of CYP450 enzymes,Epilepsy,Approved,2018,,,approved,CNS,,approved_control,Approved controls (success),CC(C)(C)C(/C=C/C1=CC2=C(C=C1)OCO2)O,IBLNKMRFIPWSOY-FNORWQNLSA-N,5311454,OK,2018.0,92,"This molecule is a medicinal chemistry fossil that violates nearly every modern safety principle. Structurally, it presents as a low-MW fragment (MW ~234) rather than a fully optimized lead, implying poor intrinsic affinity and the necessity for massive, physiological-saturating doses to achieve CNS occupancy. The presence of the 1,3-benzodioxole (methylenedioxy) moiety is a 'Hard Kill' structural alert; it is a textbook Mechanism-Based Inhibitor (MBI) of Cytochrome P450s. Metabolic oxidation of the methylene bridge generates a carbene intermediate that irreversibly coordinates to the heme iron, guaranteeing severe Drug-Drug Interactions (DDIs). Furthermore, the allylic alcohol motif, while sterically shielded by the t-butyl group, remains a liability for oxidation to a reactive enone (Michael acceptor). As an NCE, this compound is a metabolic poison rather than a selective modulator. The reliance on 'dirty pharmacology' (inhibiting metabolism of other agents) rather than intrinsic potency renders it undevelopable in a modern pipeline. Tox Summary: NOT CLEAN (MBI/DDI Liability).",Low,"1,3-Benzodioxole (P450 Suicide Substrate), Allylic Alcohol (Pro-Michael Acceptor)",0.25,High risk of non-linear pharmacokinetics and immediate DDI flags due to benzodioxole-mediated CYP inhibition. Safety margins will be nonexistent due to the massive dose requirement.,0.1,"While CNS penetration is likely high (low TPSA), efficacy would likely be confounded by metabolic inhibition of co-medications. As a standalone agent, intrinsic potency is likely insufficient.",0.05,Commercial viability is near zero. The DDI profile and high dose burden create an unmanageable safety monitoring requirement that modern regulatory bodies would reject for a non-orphan NCE.,0.05,CAUTION,"This structure corresponds to Stiripentol. While the GABAergic mechanism is validated for epilepsy (specifically Dravet Syndrome), the biological execution of this molecule is crude and hazardous. 1) **Massive Dose Burden**: Clinical efficacy requires ~50 mg/kg/day (grams per day). This violates the fundamental principle of potency and overwhelms hepatic capacity. 2) **Metabolic Suicide Substrate**: The 1,3-benzodioxole (methylenedioxy) ring is a classic structural alert. It functions as a mechanism-based inhibitor of Cytochrome P450s (forming a carbene intermediate that covalently binds heme). This results in potent inhibition of CYP3A4, CYP1A2, and CYP2C19, causing severe Drug-Drug Interactions (DDIs). 3) **Dirty Pharmacology**: Much of its clinical efficacy is actually derived from inhibiting the metabolism of co-administered drugs (like Clobazam), rather than pure intrinsic modulation. It is a metabolic hammer, not a scalpel."
Eslicarbazepine,,Na+ channel blocker,Voltage-gated Na+ channels,Epilepsy,Approved,2013,,,approved,CNS,,approved_control,Approved controls (success),C1[C@@H](C2=CC=CC=C2N(C3=CC=CC=C31)C(=O)N)O,BMPDWHIDQYTSHX-AWEZNQCLSA-N,9881504,OK,2013.0,68,"This molecule is a textbook example of 'Safety by Deletion' rather than 'Efficacy by Design'. By saturating the 10,11-bridge and installing a hydroxyl group, you have successfully excised the metabolic alert (the epoxide) associated with the unsaturated analog. However, you have paid a heavy price in physicochemical properties. 

1. **The Polarity Trap**: With a MW ~254 and 3 Hydrogen Bond Donors (HBD), this molecule sits in a difficult CNS space. The HBD count is high for passive brain penetration, likely forcing the dose upward to achieve therapeutic occupancy. 

2. **Dose Burden**: As noted in the Bio-Advisory, this is 'Bucket Chemistry'. The low LipE (driven by low potency rather than high lipophilicity) necessitates gram-level dosing. While the cLogP (~1.6) is safe from a DILI perspective (Rule of Two), the sheer metabolic throughput required to clear this drug places unnecessary stress on hepatic conjugation systems (UGT). 

3. **Differentiation**: Structurally, this is a blunt instrument. It lacks the specific vectors required to engage specific NaV subtypes (1.7/1.8) selectively. You are relying on state-dependence, which is a crowded theater. 

**Verdict**: A chemically cleaner version of a dirty drug, but it remains an inefficient binder requiring massive systemic exposure. Safe, but clumsy.",Medium,"Primary Carboxamide (Hydrolysis risk), Benzylic Alcohol (Phase II Glucuronidation sink)",0.85,Chemically benign scaffold. Absence of basic amines rules out hERG. Low lipophilicity minimizes off-target promiscuity. Phase 1 safety is high.,0.45,"Target is validated, but the 'High Dose/Low Permeability' profile creates variability in CNS exposure. Efficacy is likely, but side effects (CNS depression) will limit the therapeutic window.",0.25,"Commercial viability is low due to lack of differentiation and 'generic titration' wars. Chronic safety is acceptable, but hyponatremia remains a class liability.",0.095,CAUTION,"This structure corresponds to the active metabolite of Oxcarbazepine/Eslicarbazepine (10-hydroxy-carbazepine). While the target (Voltage-Gated Sodium Channels) is clinically validated for epilepsy and bipolar disorder, this is 'Bucket Chemistry' pharmacology. 1. DOSE BURDEN: These agents require massive daily doses (400mg - 1200mg). The liver is not a trash can; processing gram-quantities of lipophilic drug daily stresses metabolic capacity. 2. TOXICITY: While this specific metabolite avoids the toxic epoxide intermediate of Carbamazepine (reducing idiosyncratic DILI/agranulocytosis risk), it retains the class-wide liability of Hyponatremia (SIADH-like) and CNS depression (ataxia, diplopia). 3. DIFFERENTIATION: The biological ceiling for non-selective Na+ blockers is hit. Unless you demonstrate superior state-dependence or subtype selectivity (Nav1.7/1.8), you are fighting a war of attrition against generic titration schedules."
