compound,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,approval_year,isomeric,canonical,inchikey,cid,status,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob,P1 Rationale,P2 Prob,P2 Rationale,P3 Prob,P3 Rationale,TCSP V20,metabolic_sites,year_clean
Agomelatine,Melatonin agonist,MT1/MT2 and 5-HT2C receptors,Depression,Approved,2009 (EU),,,approved,CNS,,approved_control,Approved controls (success),,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,YJYPHIXNFHFHND-UHFFFAOYSA-N,82148,OK,28,"This molecule presents a classic CNS scaffold with excellent physicochemical properties. The molecular weight (~243 Da) and cLogP (~2.8) sit perfectly in the 'Goldilocks Zone' for blood-brain barrier penetration. The acetamide side chain provides necessary polarity (H-bond donor/acceptor) to offset the lipophilicity of the naphthalene core without introducing basicity that would trigger hERG liabilities. 

However, the naphthalene ring is a structural alert for metabolic bioactivation (epoxidation/quinone formation), particularly at the 1,2-positions, though the 1,7-substitution pattern mitigates this steric access slightly. The methoxy group is a predictable metabolic soft spot (O-demethylation). Overall, high LipE potential, but the aromatic core requires careful monitoring for reactive metabolite formation. Tox Summary: Clean, manageable risks.",Medium,Naphthalene core (potential epoxidation/quinone risk),0.85,"Clean profile, no hERG pharmacophore (neutral amide), low MW reduces off-target risks.",0.6,Excellent CNS MPO score suggests good target engagement in the brain. Short half-life likely due to CYP1A2 metabolism.,0.4,Liver safety (naphthalene bioactivation) will be the primary scrutiny point in large populations.,0.88,,2009.0
Selegiline,MAO-B inhibitor,Monoamine Oxidase B (MAO-B),Parkinson/Depression,Approved,2006,,,approved,CNS,,approved_control,Approved controls (success),,C[C@H](CC1=CC=CC=C1)N(C)CC#C,CCH(CC1=CC=CC=C1)N(C)CC#C,MEZLKOACVSPNER-GFCCVEGCSA-N,26757,OK,48,"The molecule exhibits elite CNS physicochemical properties (MW < 200, cLogP ~2.5, TPSA < 10). However, the terminal alkyne is a 'hard' structural alert for Mechanism-Based Inhibition (MBI) of P450s, not just the intended MAO target. Furthermore, N-dealkylation of the propargyl group reveals a methamphetamine scaffold, introducing severe abuse liability and CV risk. While brain penetration is guaranteed, the metabolic trajectory is dirty. Tox Summary: Not Clean (Active Metabolites/MBI).",Low,"Terminal Alkyne (Suicide inhibition), Amphetamine metabolite (CV/CNS tox)",0.6,"High CNS exposure likely, but sympathomimetic side effects from metabolites may limit dose escalation.",0.45,"Target engagement is highly probable given CNS MPO score, but off-target effects may confound efficacy.",0.2,Chronic dosing of a suicide inhibitor with amphetamine metabolites carries high regulatory risk.,0.05,,2006.0
Esketamine,NDMA antagonist,NMDA receptor,Depression,Approved,2019,,,approved,CNS,,approved_control,Approved controls (success),,CN[C@@]1(CCCCC1=O)C2=CC=CC=C2Cl,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,YQEZLKZALYSWHR-ZDUSSCGKSA-N,182137,OK,38,"This is a fragment-sized CNS entry with excellent LipE potential. The alpha-amino ketone motif is chemically reactive and prone to rearrangement or oxidation, raising stability concerns. The chlorophenyl ring provides metabolic blocking, but the overall scaffold suggests 'dirty' pharmacology (GPCR/Ion channel promiscuity). The high lipophilicity relative to size suggests high Vd but potential for accumulation. Tox Summary: Clean-ish (Psychotomimetic risk).",Medium,"Alpha-amino ketone (Chemical instability), Chlorophenyl (Environmental persistence)",0.7,"Acute safety likely acceptable, though CNS side effects (dissociation) may define the MTD.",0.4,Efficacy depends on receptor residence time; rapid clearance via N-demethylation is a risk.,0.3,Abuse liability studies will be the primary hurdle for commercialization.,0.08,,2019.0
Carbamazepine,Na+ channel blocker,Voltage-gated Na+ channels,Epilepsy,Approved,2004,,,approved,CNS,,approved_control,Approved controls (success),,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,FFGPTBGBLSHEPO-UHFFFAOYSA-N,2554,OK,65,"The tricyclic scaffold is rigid, but the central cis-stilbene-like double bond is a major metabolic liability. It is primed for P450 epoxidation to form a stable, reactive epoxide, which is a known structural alert for idiosyncratic toxicity and immune sensitization. Furthermore, such lipophilic tricycles are classic PXR activators, leading to auto-induction of metabolism. While CNS penetration is good, the 'dirty' metabolic profile makes this a legacy design. Tox Summary: Not Clean (Reactive Epoxide).",Low,"Cis-stilbene bridge (Epoxide formation), Urea (Hydrolysis risk)",0.7,"Tolerable acutely, but enzyme induction may complicate multiple ascending dose (MAD) studies.",0.45,"Good tissue distribution supports efficacy, but drug-drug interactions (DDI) will be problematic.",0.15,"Reactive metabolite formation poses a severe risk for rare, fatal adverse events (SJS/DILI).",0.04,,2004.0
Oxcarbazepine,Na+ channel blocker,Voltage-gated Na+ channels,Epilepsy,Approved,2001,,,approved,CNS,,approved_control,Approved controls (success),,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,CTRLABGOLIVAIY-UHFFFAOYSA-N,34312,OK,48,"This is a compact, rigid tricyclic scaffold with excellent CNS physicochemical properties (MW < 250, cLogP ~2.5). However, the central alkene bridge (stilbene-like) is a glaring metabolic liability, highly susceptible to P450-mediated epoxidation. This reactive epoxide metabolite poses a significant risk for idiosyncratic toxicity and immune-mediated reactions. The primary amide is also a hydrolysis risk. While brain penetration should be high, the 'dirty' metabolic profile of this tricyclic core suggests auto-induction and drug-drug interaction risks. Tox Summary: Not Clean (Epoxide risk).",Low,"Stilbene-like alkene (Epoxidation risk), Primary amide (Hydrolysis)",0.65,"Reasonable safety start, but reactive metabolite potential (epoxide) caps confidence.",0.4,"Good CNS exposure likely, but short half-life or auto-induction could complicate dosing.",0.15,Idiosyncratic tox risks from the epoxide could derail large chronic trials.,0.039,,2001.0
Topiramate,Na+ channel modulator,Na+ channels and GABA-A receptors,Epilepsy/Migraine,Approved,1996,,,approved,CNS,,approved_control,Approved controls (success),,CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C,CC1(OCH2COC3(CH(CH2O1)OC(O3)(C)C)COS(=O)(=O)N)C,KJADKKWYZYXHBB-XBWDGYHZSA-N,5284627,OK,22,"A refreshing departure from the 'flat aromatic' paradigm. This bis-acetonide sugar scaffold boasts exceptional Fsp3 character and intrinsic solubility. The sulfamate moiety is a validated pharmacophore, though it carries a specific liability for Carbonic Anhydrase inhibition (renal stone risk). The primary risk here is the acid stability of the acetonide protecting groups in the stomach; if they hold, this is a high-quality, low-promiscuity lead. It avoids the 'Grease Tax' entirely. Tox Summary: Clean (Watch for CA inhibition).",High,"Sulfamate (Carbonic Anhydrase off-target), Acetonides (Acid instability risk)",0.85,Low lipophilicity suggests clean safety profile and low off-target binding.,0.55,Unique mechanism/structure space. Efficacy depends on specific transport/binding.,0.3,"If efficacy is proven, safety profile is likely superior to aromatic competitors.",0.14,,1996.0
Olanzapine,D2/5-HT2 antagonist,5-HT2A and D2 receptors,Schizophrenia/Bipolar,Approved,1996,,,approved,CNS,,approved_control,Approved controls (success),,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,KVWDHTXUZHCGIO-UHFFFAOYSA-N,135398745,OK,45,"A bioisosteric modification of the previous entry, swapping a benzene for a thiophene. This maintains the favorable CNS properties (MW ~312, cLogP ~3.0) while altering the electronics of the central ring. However, thiophenes are metabolic liabilities (S-oxidation, ring opening) and can lead to their own toxicities. While it likely mitigates the specific nitrenium risk of the all-carbon analog, it introduces metabolic instability. Good LipE potential, but the metabolic weight of the core is a concern. Tox Summary: Clean-ish (Watch Metabolism).",Medium,"Thiophene (S-oxidation/Ring opening), Amidine core",0.7,Reasonable safety profile expected in short term.,0.5,"Good efficacy expected, but metabolic side effects (weight gain) could be a class effect.",0.3,Viable drug if metabolic profile is managed.,0.35,,1996.0
Quetiapine,D2 antagonist,Dopamine D2 and 5-HT2A receptors,Schizophrenia/Bipolar,Approved,1997,,,approved,CNS,,approved_control,Approved controls (success),,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42,URKOMYMAXPYINW-UHFFFAOYSA-N,5002,OK,60,"This molecule attempts to solve the 'grease' problem with a 'soggy' tail (ethoxyethanol). While this lowers cLogP to a very safe ~2.5, the flexible, polar tail likely imposes a significant entropic penalty on binding, reducing potency. This suggests a high daily dose will be required to achieve occupancy (Rule of Two violation risk: High Dose). The dibenzothiazepine core is stable, but the molecule feels inefficient—carrying dead weight in the side chain. Tox Summary: Clean (Low affinity/High dose risk).",Medium,"Ether/Alcohol tail (Phase II conjugation), Thiazepine sulfur",0.8,"Likely safe, low hERG risk due to polarity.",0.4,Efficacy may be limited by achievable exposure/occupancy at tolerated doses.,0.2,Commercial struggle against more potent competitors.,0.25,,1997.0
Paliperidone,D2/5-HT2 antagonist,5-HT2A and D2 receptors,Schizophrenia,Approved,2006,,,approved,CNS,,approved_control,Approved controls (success),,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,PMXMIIMHBWHSKN-UHFFFAOYSA-N,115237,OK,22,"This structure exhibits high-quality CNS design principles. The inclusion of the hydroxyl group on the pyrimido-ring is a strategic 'metabolic block' that likely prevents oxidative clearance while simultaneously lowering cLogP into the Goldilocks zone (2.0-3.0). The benzisoxazole tail is a potent pharmacophore, though it carries a slight risk of reductive ring opening. The basic amine is flanked by polar/heteroaromatic systems, which mitigates the 'grease-driven' hERG risk often seen in this class. High developability credit for balancing polarity and MW. Tox Summary: Clean.",High,Benzisoxazole (low risk of reductive cleavage),0.85,Excellent physicochemical properties suggest good safety margins. Low lipophilicity reduces off-target risks.,0.55,Strong CNS MPO score suggests good target engagement and brain penetration.,0.2,Clean metabolic profile supports chronic dosing safety.,0.0935,,2006.0
Ziprasidone,D2/5-HT2 antagonist,5-HT2A and D2 receptors,Schizophrenia,Approved,2001,,,approved,CNS,,approved_control,Approved controls (success),,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,MVWVFYHBGMAFLY-UHFFFAOYSA-N,60854,OK,68,"Structural Alert: hERG Pharmacophore. The architecture—a basic piperazine, a short ethyl linker, and two lipophilic aromatic ends (benzisothiazole and chloro-oxindole)—creates a perfect storm for hERG channel trapping. While potency is likely high, the safety margin (TI) will be the development bottleneck. Additionally, the benzisothiazole contains an S-N bond, a motif occasionally associated with idiosyncratic toxicity (DRESS/SJS) via reactive metabolites. Tox Summary: Not Clean (hERG/Idiosyncratic risk).",Medium,"Benzisothiazole (S-N bond), Chloro-oxindole",0.4,High risk of QT prolongation (hERG) and potential idiosyncratic tox from the heterocycle.,0.3,"Efficacy likely fine, but attrition due to safety signals is high.",0.05,Cardiovascular safety concerns usually kill these in late stage.,0.006,,2001.0
Aripiprazole,D2 partial agonist,D2 partial agonist and 5-HT2A antagonist,Schizophrenia/Bipolar,Approved,2002,,,approved,CNS,,approved_control,Approved controls (success),,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,CEUORZQYGODEFX-UHFFFAOYSA-N,60795,OK,48,"Functional but inelegant. The molecule relies heavily on lipophilicity ('grease') for affinity. The butoxy linker introduces a significant entropic penalty (4 rotatable bonds) and a metabolic soft spot (O-dealkylation). The 2,3-dichlorophenyl tail is extremely lipophilic, pushing the cLogP > 4.5, which flags for phospholipidosis and DILI risk. It is a 'brute force' binder that violates modern LipE guidelines. Tox Summary: Clean but Greasy.",Low,"2,3-dichlorophenyl (metabolic activation), Butoxy linker (dealkylation)",0.7,"Passable safety, but high lipophilicity may cause dosing limitations.",0.4,"Good target engagement, but variable PK due to metabolism.",0.15,Standard attrition rates for lipophilic CNS agents.,0.042,,2002.0
Brexpiprazole,D2 partial agonist,D2 and 5-HT1A receptors,Schizophrenia/MDD adjunct,Approved,2015,,,approved,CNS,,approved_control,Approved controls (success),,C1CN(CCN1CCCCOC2=CC3=C(C=C2)C=CC(=O)N3)C4=C5C=CSC5=CC=C4,C1CN(CCN1CCCCOC2=CC3=C(C=C2)C=CC(=O)N3)C4=C5C=CSC5=CC=C4,ZKIAIYBUSXZPLP-UHFFFAOYSA-N,11978813,OK,42,"An incremental evolution of the 'butoxy-linker' scaffold. Replacing the dichlorophenyl with a benzothiophene likely improves the electronic profile and potentially metabolic stability (avoiding ring hydroxylation), but the S-oxidation risk is introduced. Crucially, it retains the 'floppy' linker liability—high rotatable bond count and entropic debt. It is a 'Me-Better' attempt, but structurally still carries the entropic tax of the alkoxy chain. Tox Summary: Clean.",Medium,"Benzothiophene (S-oxidation), Butoxy linker",0.75,Slightly better property forecast than the dichloro-analog.,0.45,Likely potent with reasonable ADME.,0.15,Chronic safety likely acceptable.,0.05,,2015.0
Cariprazine,D2/D3 partial agonist,D3 and D2 receptors,Schizophrenia/Bipolar,Approved,2015,,,approved,CNS,,approved_control,Approved controls (success),,CN(C)C(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl,CN(C)C(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl,KPWSJANDNDDRMB-UHFFFAOYSA-N,11154555,OK,12,"Elite medicinal chemistry design. The replacement of a floppy alkyl chain with a rigid trans-cyclohexane spacer is a masterclass in improving LipE—it reduces the entropic cost of binding without adding significant MW. The dimethylurea cap provides a polar anchor to offset the lipophilic dichlorophenyl tail, keeping TPSA and LogP in the ideal CNS window. This structure maximizes affinity per atom while minimizing metabolic liabilities. Tox Summary: Clean.",High,"2,3-dichlorophenyl (managed by overall polarity)",0.9,Superior physicochemical properties imply excellent safety and PK.,0.6,High potency + High brain pen = High probability of efficacy.,0.3,Best-in-class structural properties minimize late-stage attrition.,0.162,,2015.0
Lurasidone,D2 antagonist,D2 and 5-HT7 receptors,Schizophrenia/Bipolar,Approved,2010,,,approved,CNS,,approved_control,Approved controls (success),,C1CC[C@H]([C@@H](C1)CN2CCN(CC2)C3=NSC4=CC=CC=C43)CN5C(=O)[C@H]6[C@@H]7CC[C@@H](C7)[C@H]6C5=O,C1CCCH(CH(C1)CN2CCN(CC2)C3=NSC4=CC=CC=C43)CN5C(=O)CH6CH7CCCH(C7)CH6C5=O,PQXKDMSYBGKCJA-CVTJIBDQSA-N,213046,OK,22,"This structure exhibits high Fsp3 character and significant topological complexity, which usually correlates with high selectivity. The rigid norbornane-imide fused system is an excellent scaffold for restricting conformational entropy. While the MW is pushing the upper limit (~490), the TPSA remains low (~65), suggesting adequate CNS penetration. The 1,2-benzisothiazole is a known privileged motif in GPCR medicinal chemistry but carries a risk of S-oxidation. The trans-cyclohexane spacer provides a rigid vector that likely improves LipE compared to flexible alkyl chains. This is a high-fidelity molecule: complex, rigid, and likely potent without relying solely on lipophilicity. Tox Summary: Clean.",Medium,"1,2-benzisothiazole (S-oxidation risk), Imide (hydrolysis risk)",0.75,High complexity and rigidity suggest good selectivity and lower off-target risk. Clean structural alerts.,0.45,Good CNS MPO score suggests target engagement is likely. Metabolic clearance of the complex scaffold is the main risk.,0.2,"If it clears safety, the efficacy profile looks promising due to likely high receptor residence time.",0.0675,,2010.0
