compound,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,approval_year,isomeric,canonical,inchikey,cid,status,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob,P1 Rationale,P2 Prob,P2 Rationale,P3 Prob,P3 Rationale,TCSP V20,metabolic_sites
Milnacipran,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2009,,,approved,CNS,,approved_control,Approved controls (success),,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2,CCN(CC)C(=O)C1(CCH1CN)C2=CC=CC=C2,GJJFMKBJSRMPLA-HIFRSBDPSA-N,65833,OK,12,"This is a textbook example of High Ligand Efficiency (LE) design for CNS penetration. The cyclopropane core acts as a rigid, non-aromatic spacer that defines the vector between the amide and the amine without the 'Grease Tax' of a phenyl ring. MW < 250 and low TPSA ensure rapid BBB crossing. The diethyl amide is robust, though N-dealkylation is the primary metabolic soft spot. The primary amine (chiral center adjacent) is critical for target engagement but must be monitored for MAO susceptibility. Overall, this is a 'Goldilocks' scaffold: rigid, polar enough, and small. Tox Summary: Clean.",High,None identified (Primary amine requires MAO check),0.85,Clean structural alerts. Low MW reduces off-target probability.,0.55,High target engagement probability due to rigid vector alignment.,0.25,Low toxicity risk profile suggests durability in chronic dosing.,0.92,
Bupropion,NDRI,NET and Dopamine Transporter (DAT),Depression,Approved,1985,,,approved,CNS,,approved_control,Approved controls (success),,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,SNPPWIUOZRMYNY-UHFFFAOYSA-N,444,OK,38,"A deceptive structure. While small (MW ~240), the alpha-aminoketone motif is chemically labile and prone to reduction or cyclization. The tert-butyl group is a smart steric shield against N-dealkylation, forcing metabolism to the carbonyl (reduction to alcohol) or the chlorophenyl ring. However, this specific scaffold (amphetaminergic-like) carries an inherent risk of lowering the seizure threshold, a functional CNS toxicity that structure-based rules often miss. It relies on 'bulk' rather than specific interactions. Tox Summary: Functional CNS risk (Seizures).",Medium,"Alpha-aminoketone (Chemical instability/reactivity), Chlorophenyl (Bioaccumulation risk)",0.75,"Generally safe, but CNS side effects (insomnia/anxiety) likely.",0.4,"Efficacy is likely, but side-effect profile may limit therapeutic window.",0.15,Seizure risk in broad populations is a commercial killer.,0.65,
Mirtazapine,NaSSA,_2_-adrenergic and 5-HT2A/2C/3 receptors,Depression,Approved,1996,,,approved,CNS,,approved_control,Approved controls (success),,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,RONZAEMNMFQXRA-UHFFFAOYSA-N,4205,OK,18,"An elegant, rigidified tetracyclic system. By fusing the rings, the entropic penalty of binding is near zero. The physicochemical properties are ideal for CNS (cLogP ~3, Low TPSA). The structure lacks obvious toxicophores. The N-methyl group is a standard metabolic handle (demethylation), but the core is robust. The only concern is the potential for idiosyncratic toxicity sometimes seen with fused azepines (bone marrow effects), though this specific arrangement looks cleaner than older tricyclics. High LipE candidate. Tox Summary: Clean.",High,"Fused Azepine (Historical class alert for agranulocytosis, though low risk here)",0.8,Solid safety profile expected.,0.5,Rigidity implies high specificity and potency.,0.2,Good commercial viability if sedation is managed.,0.88,
Trazodone,Serotonin antagonist/reuptake inhibitor,5-HT2A receptor and SERT,Depression,Approved,1981,,,approved,CNS,,approved_control,Approved controls (success),,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,PHLBKPHSAVXXEF-UHFFFAOYSA-N,5533,OK,58,"This molecule relies on the 'Privileged' (read: Promiscuous) Phenylpiperazine scaffold. While it guarantees affinity, it brings a 'Selectivity Tax'—expect off-target hits at Alpha-1 and D2 receptors. The major liability here is the hERG Pharmacophore: A basic nitrogen (piperazine) linked by a 3-carbon chain to a lipophilic aromatic system (triazolopyridinone). This topology is a magnet for the hERG channel pore. Additionally, metabolic cleavage of the linker releases the chlorophenylpiperazine fragment, which is bioactive and potentially genotoxic/anxiogenic. Tox Summary: Not Clean (hERG + Active Metabolite).",Medium,"Phenylpiperazine (Promiscuity/Active Metabolite), Triazolopyridinone (hERG anchor)",0.6,hERG signal likely in safety pharm.,0.3,Dosing limited by orthostatic hypotension (Alpha-1) or QT prolongation.,0.1,Dirty profile makes chronic safety a gamble.,0.45,
Vilazodone,SSRI/5-HT1A partial agonist,SERT and 5-HT1A receptor,Depression,Approved,2011,,,approved,CNS,,approved_control,Approved controls (success),,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,SGEGOXDYSFKCPT-UHFFFAOYSA-N,6918314,OK,65,"A molecular 'Dumbbell' and a hERG nightmare. We have two massive aromatic systems (Cyano-Indole and Benzofuran-Amide) separated by a flexible 4-carbon butyl chain and a basic piperazine. This fits the hERG blockade model perfectly (Two aromatic flanks + central basic amine + flexible spacer). MW is pushing the limit (approx 440), and the rotatable bond count is high ('The Balloon'), leading to poor oral bioavailability and high clearance. The cyano group adds metabolic stability to the indole but increases electrophilicity. This looks like a potency play that ignored developability. Tox Summary: Not Clean (High hERG risk).",Low,"Indole-3-carbonitrile (Michael acceptor potential), 4-carbon linker (Metabolic soft spot)",0.5,High risk of QT prolongation and poor PK.,0.25,Bioavailability issues will plague efficacy trials.,0.08,Complex metabolism and cardiac risk make this a difficult commercial asset.,0.35,
Vortioxetine,Multimodal serotonergic,"SERT, 5-HT1A/1B/3/7 receptors",Depression,Approved,2013,,,approved,CNS,,approved_control,Approved controls (success),,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,YQNWZWMKLDQSAC-UHFFFAOYSA-N,9966051,OK,28,"This is a highly competent CNS design. The scaffold utilizes an aryl piperazine—a privileged motif for monoaminergic GPCRs—linked via a sulfide bridge to a substituted phenyl ring. 

**Pros:**
1. **Molecular Weight (<300)**: Extremely efficient. Leaves ample room for metabolic optimization if needed.
2. **LipE Profile**: The piperazine provides necessary polarity/basicity to offset the lipophilic biaryl system. cLogP is likely in the 'Goldilocks' zone (3.0-4.0).
3. **Structural Features**: The 2,4-dimethyl substitution on the distal ring creates a twisted conformation, preventing flat aromatic stacking (solubility boost) and blocking specific metabolic sites. 

**Cons/Risks:**
1. **Metabolic Soft Spots**: The benzylic methyl groups are prime targets for CYP-mediated oxidation. The sulfide linker is susceptible to S-oxidation (sulfoxide/sulfone formation), which creates chiral centers and polarity shifts.
2. **Aniline Liability**: The piperazine is attached to an aniline-like nitrogen; while usually stable in tertiary systems, reactive metabolite formation (quinone-imine) is a theoretical risk if the ring is electron-rich.

**Verdict**: High LipE, compact, and drug-like. Superior to the tricyclic comparators in this batch.",Medium,"Benzylic methyls (rapid clearance risk), Sulfide (S-oxidation)",0.85,Clean physicochemical profile suggests good oral bioavailability and manageable safety. Low risk of hard-stop tox.,0.6,Strong target engagement expected for this pharmacophore. Efficacy depends on specific receptor subtype selectivity (5-HT modulation).,0.45,Commercial viability is high if differentiation from generic SSRIs is achieved. Safety profile likely superior to older tricyclics.,0.23,
Amitriptyline,TCA,SERT and NET,Depression,Approved,1961,,,approved,CNS,,approved_control,Approved controls (success),,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,KRMDCWKBEZIMAB-UHFFFAOYSA-N,2160,OK,65,"A classic 'dirty' tricyclic scaffold. This molecule relies heavily on entropy-driven binding via a large lipophilic core (dibenzocycloheptene) and a flexible basic side chain.

**The Critique:**
1. **Promiscuity**: This scaffold is historically notorious for hitting a wide swath of GPCRs (Muscarinic, Histaminic, Adrenergic) alongside the intended target. It lacks specific vectors for selectivity.
2. **hERG Liability**: The combination of a tricyclic 'grease ball' and a basic amine separated by a flexible linker is the textbook definition of a hERG pharmacophore. QTc prolongation is a major concern.
3. **Metabolism**: The exocyclic double bond is a potential site for metabolic epoxidation, though steric bulk may protect it. N-demethylation will be rapid.

**Verdict**: While potent, this represents antiquated medicinal chemistry. The lack of selectivity and high cardiac risk imposes a severe penalty.",Low,"Tricyclic core (Promiscuity), Basic amine + Lipophilic tail (hERG)",0.5,High risk of anticholinergic side effects and QTc prolongation in healthy volunteers.,0.35,"Efficacy is likely, but the therapeutic window will be narrowed by off-target tolerability issues (sedation, dry mouth).",0.1,Safety concerns in chronic dosing (cardiac) would likely kill this as a modern NCE.,0.02,
Nortriptyline,TCA,SERT and NET,Depression,Approved,1964,,,approved,CNS,,approved_control,Approved controls (success),,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,PHVGLTMQBUFIQQ-UHFFFAOYSA-N,4543,OK,58,"The secondary amine variant of the previous tricyclic entry. 

**Improvements:**
1. **Lower Lipophilicity**: The removal of a methyl group slightly lowers cLogP and reduces the steric bulk around the basic nitrogen, potentially altering the selectivity profile (e.g., NET vs SERT bias).
2. **Metabolism**: Bypasses the first N-demethylation step required for the tertiary amine parent, potentially reducing inter-patient variability.

**Remaining Flaws:**
It retains the fundamental flaws of the scaffold: the rigid, lipophilic tricyclic core creates a high volume of distribution and tissue retention (phospholipidosis risk) and maintains the hERG pharmacophore. It is slightly more 'developable' than the tertiary amine but still a blunt instrument.",Low,"Tricyclic core (Promiscuity), Secondary amine (Bioactivation risk if conjugated)",0.55,"Slightly better safety profile than the tertiary amine, but side effects remain a hurdle.",0.35,"Efficacy likely preserved, but differentiation is difficult.",0.12,Still faces the 'dirty drug' penalty in late-stage safety assessments.,0.02,
Imipramine,TCA,SERT and NET,Depression,Approved,1957,,,approved,CNS,,approved_control,Approved controls (success),,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,BCGWQEUPMDMJNV-UHFFFAOYSA-N,3696,OK,62,"A dibenzazepine core. Structurally similar to the cycloheptene analogs but replaces the central carbon with a nitrogen.

**Analysis:**
1. **Electronic Effects**: The central ring nitrogen is aniline-like (conjugated with the phenyl rings), making it non-basic. The basicity resides solely in the side chain. This changes the electronic vector of the core but not the overall lipophilicity problem.
2. **Stability**: The saturated ethylene bridge is susceptible to benzylic hydroxylation. The N-C bond in the ring is generally stable, but the molecule is still a 'grease bucket'.
3. **Tox**: High risk of idiosyncratic toxicity due to the potential for reactive metabolite formation on the aniline-like system if bioactivated.

**Verdict**: Another promiscuous scaffold. The flexibility of the side chain and the lipophilic core guarantees off-target hits.",Low,"Dibenzazepine core (Idiosyncratic tox risk), Flexible basic side chain (hERG)",0.5,Tolerability issues likely to surface early.,0.3,"CNS efficacy is probable, but the therapeutic index is the killer.",0.1,Difficult to justify against cleaner competitors.,0.015,
Clomipramine,TCA,SERT and NET,Depression/OCD,Approved,1989,,,approved,CNS,,approved_control,Approved controls (success),,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,GDLIGKIOYRNHDA-UHFFFAOYSA-N,2801,OK,72,"The chlorinated analog of the dibenzazepine entry. 

**The Grease Tax**: Adding a Chlorine atom to an already lipophilic tricyclic core is a violation of modern CNS design principles. 
1. **cLogP Penalty**: The Cl adds ~0.7 to the LogP, pushing this molecule deep into the danger zone (>5.0). This increases the likelihood of phospholipidosis and non-specific binding.
2. **hERG Amplification**: In this class, increased lipophilicity directly correlates with increased hERG potency. This molecule is a cardiac safety red flag.
3. **Metabolism**: While Cl blocks para-hydroxylation on one ring, it forces metabolism to the other ring or the side chain, potentially creating longer-lived active metabolites.

**Verdict**: The most liable molecule in the batch. High potency is likely, but it is achieved through 'molecular obesity'.",Medium,"Chlorinated tricyclic core (High Lipophilicity/Phospholipidosis), hERG Pharmacophore",0.4,High risk of QTc prolongation and accumulation toxicity.,0.3,Efficacy is not the issue; survival of the patient is.,0.05,Unlikely to pass modern safety audits for chronic CNS indications.,0.006,
Doxepin,TCA,SERT and NET,Depression/Insomnia,Approved,1969,,,approved,CNS,,approved_control,Approved controls (success),,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,ODQWQRRAPPTVAG-UHFFFAOYSA-N,3158,OK,62,"This structure represents a classic 'dirty drug' scaffold. You have a massive, greasy tricyclic core (dibenzo-oxepine derivative) tethered to a basic dimethylamine via a flexible propylidene linker. 

1. **hERG Liability**: This is a textbook hERG pharmacophore: Hydrophobic Cluster + Linker + Basic Amine. The risk here is severe.
2. **Promiscuity**: The lack of specific polar interactions on the core suggests this molecule will bind indiscriminately to GPCRs (Histamine, Muscarinic, Adrenergic) driven purely by the hydrophobic effect. 
3. **Metabolism**: The exocyclic double bond is a metabolic soft spot (epoxidation/oxidative cleavage) and introduces E/Z isomerism complexity, which is a CMC nightmare. 
4. **LipE**: Poor. Affinity is likely driven by lipophilicity (Grease) rather than specific interactions.

Tox Summary: Not Clean (hERG + Promiscuity).",Low,"Exocyclic double bond (isomerization/metabolism), Tricyclic hydrophobic core (phospholipidosis risk)",0.45,High risk of QT prolongation and off-target CNS effects (sedation/anticholinergic) will make dose-escalation difficult.,0.3,"While it may engage the target, the side-effect profile will likely limit the therapeutic window significantly.",0.15,Safety margins will be the primary attrition factor in large populations.,0.4,
Trimipramine,TCA,SERT and NET,Depression,Approved,1979,,,approved,CNS,,approved_control,Approved controls (success),,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C,ZSCDBOWYZJWBIY-UHFFFAOYSA-N,5584,OK,68,"This is an even greasier variant of the tricyclic theme. The core is a dihydro-dibenzazepine, and the side chain is a branched alkyl amine. 

1. **Lipophilicity**: The cLogP is pushing the danger zone (>4.5). The addition of the methyl branch on the linker adds steric bulk but also unnecessary lipophilicity without obvious polar compensation.
2. **CNS MPO**: The high logP and basicity suggest high brain penetration but also high non-specific binding (low free fraction). 
3. **DILI Risk**: The combination of a high daily dose (typical for low potency binders) and high lipophilicity triggers the 'Rule of Two' for hepatotoxicity.
4. **hERG**: Critical alert. The flexible linker and basic nitrogen relative to the aromatic bulk is optimal for channel blocking.

Tox Summary: Not Clean (hERG + DILI risk).",Medium,"Benzylic carbons (oxidation), Tertiary amine (N-dealkylation)",0.4,Cardiovascular safety (conduction delays) will be a major hurdle in Phase 1.,0.25,"Efficacy might be present, but the 'dirty' receptor profile will confound the readout.",0.1,Old-school medicinal chemistry that rarely survives modern safety audits.,0.35,
Protriptyline,TCA,SERT and NET,Depression,Approved,1967,,,approved,CNS,,approved_control,Approved controls (success),,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13,BWPIARFWQZKAIA-UHFFFAOYSA-N,4976,OK,55,"A tricyclic alkene core with a secondary amine side chain. 

1. **Secondary Amine**: This is a slight improvement over the tertiary amines in terms of metabolic complexity (no N-oxide formation, potentially lower clearance), but it remains a very lipophilic base.
2. **Rigidity**: The central ring double bond adds some rigidity compared to the saturated variants, which helps define the vector, but the molecule is still essentially a 'grease ball'.
3. **Safety**: The secondary amine does not mitigate the hERG risk inherent to this scaffold shape. The lack of polar diversity on the aromatic rings guarantees off-target hits.

Tox Summary: Not Clean (Promiscuity).",Medium,"Styrenyl double bond (epoxidation risk), Secondary amine",0.5,"Secondary amines often have longer half-lives, potentially allowing lower dosing, but safety margins remain tight.",0.35,"Target engagement is likely, but tolerability will be the limiting factor.",0.2,Commercial viability is low due to better-in-class competitors with cleaner profiles.,0.45,
Maprotiline,Tetracyclic antidepressant,Norepinephrine Transporter (NET),Depression,Approved,1980,,,approved,CNS,,approved_control,Approved controls (success),,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,QSLMDECMDJKHMQ-UHFFFAOYSA-N,4011,OK,58,"A tetracyclic bridged system. This represents a move towards rigidification, which is chemically commendable for reducing entropic penalties, but the physicochemical properties remain flawed.

1. **Lipophilicity**: This is an extremely hydrophobic cage. The cLogP is likely very high, leading to phospholipidosis and tissue accumulation.
2. **Seizure Risk**: Rigid, lipophilic cages of this size often fit into picrotoxin-like sites on GABA channels or other ion channels, posing a convulsant risk.
3. **Metabolism**: The bridgehead carbons and benzylic positions are prime sites for P450 attack, likely leading to a complex metabolite profile.

Tox Summary: Not Clean (Seizure risk + Phospholipidosis).",Medium,"Bridged bicyclic core (metabolic complexity), Secondary amine",0.45,CNS adverse events (seizures/tremors) are a specific risk for this topology in P1.,0.3,"Efficacy is plausible, but the therapeutic index will be narrow.",0.15,Difficult to differentiate from existing generic standards.,0.42,
