compound,Alias,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,isomeric,inchikey,cid,status,year_clean,Edward Score V22,Rationale V22,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob V22,P1 Rationale V22,P2 Prob V22,P2 Rationale V22,P3 Prob V22,P3 Rationale V22,TCSP V22,salah_verdict,biological_risk
Fluphenazine,,D2 antagonist,Dopamine D2 receptor,Schizophrenia,Approved,1959,,,approved,CNS,,approved_control,Approved controls (success),C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,PLDUPXSUYLZYBN-UHFFFAOYSA-N,3372,OK,1959.0,92,"This structure represents the 'Dark Ages' of medicinal chemistry. While the physicochemical properties (MW < 450, TPSA ~55) theoretically support CNS penetration, the scaffold is a structural disaster by modern standards. 1) The Core: The tricyclic phenothiazine system is a 'privileged' scaffold only in the sense that it privileges itself to bind indiscriminately to Dopaminergic, Adrenergic, Histaminergic, and Muscarinic receptors. It is a 'dirty' molecular slab. 2) The hERG Trap: You have constructed a textbook Class III antiarrhythmic pharmacophore: a lipophilic aromatic cluster linked via a 3-carbon spacer to a basic piperazine nitrogen (pKa ~9). This guarantees QT prolongation risks. 3) Metabolic Liability: The sulfur atom is a soft nucleophile prone to oxidation, and the piperazine ring is a hotspot for N-dealkylation. 4) Bio-Advisory Integration: As noted by the biological expert, the mechanism (pure D2 antagonism) combined with this promiscuous scaffold guarantees Extrapyramidal Symptoms (EPS) and off-target sedation/hypotension. The 35-point penalty is applied for the obsolescence of this approach. This is a functional molecule, but it is a sledgehammer where a scalpel is required. Tox Summary: NOT CLEAN (hERG + EPS + Promiscuity).",Low,"Phenothiazine core (Phototoxicity/DILI), Propyl-Piperazine linker (hERG), Primary Alcohol (Glucuronidation/Oxidation)",0.3,High risk of QT prolongation (hERG) and orthostatic hypotension (Alpha-1 off-target) limiting the therapeutic window in healthy volunteers.,0.4,"Efficacy is mechanically guaranteed (it will block D2), but tolerability (EPS, sedation) will drive high dropout rates compared to placebo.",0.05,Commercially unviable against modern atypical antipsychotics due to the severe side-effect profile (Tardive Dyskinesia risk) and 'dirty' receptor binding.,0.06,CAUTION,"This structure is Fluphenazine, a high-potency 'typical' phenothiazine antipsychotic. While the D2 antagonist mechanism is clinically validated for psychosis (efficacy is not the risk), the biological cost is severe. 1) Neurological Toxicity: Pure D2 antagonism in the nigrostriatal pathway guarantees Extrapyramidal Symptoms (EPS) and long-term Tardive Dyskinesia risk, unlike modern 5-HT2A/D2 'atypicals' or partial agonists. 2) Polypharmacology: The phenothiazine core is a 'dirty' scaffold, hitting Alpha-1 (hypotension) and Histamine (sedation) receptors. 3) Liver: While the high potency allows for low dosing (<20mg/day), mitigating the intrinsic hepatotoxicity seen in low-potency phenothiazines (e.g., Chlorpromazine), the class still carries a stigma of cholestatic changes. This is a functional drug, but biologically obsolete due to tolerability profile."
Perphenazine,,D2 antagonist,Dopamine D2 receptor,Schizophrenia,Approved,1957,,,approved,CNS,,approved_control,Approved controls (success),C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,RGCVKNLCSQQDEP-UHFFFAOYSA-N,4748,OK,1957.0,85,"This molecule represents the archetype of 'dirty' pharmacology. Structurally, the tricyclic phenothiazine core is a 'promiscuity engine,' virtually guaranteeing lack of selectivity across GPCRs (H1, Alpha-1, mAChR), which aligns with the Bio-Advisory's warning on sedation and orthostasis. From a safety perspective, the molecule is a textbook hERG trap: a basic piperazine nitrogen connected via a flexible propyl linker to a massive hydrophobic aromatic cluster. The chlorine substituent adds lipophilicity (cLogP ~4.2) without clear vector benefit, increasing the 'Grease Tax'. Metabolic liabilities are glaring: the sulfur atom is prone to S-oxidation, and the primary alcohol tail invites rapid glucuronidation, potentially leading to poor bioavailability or active metabolite issues. While it will undoubtedly engage the D2 target (high potency driven by hydrophobic effect), the structural cost is too high. The risk of extrapyramidal symptoms (EPS) is structurally encoded by the rigid antagonism this scaffold provides. Tox Summary: Not Clean (hERG, Promiscuity, Bioactivation risk).",Low,"Phenothiazine tricyclic core (radical cation formation/bioactivation), Basic piperazine linked to lipophilic core (hERG pharmacophore), Primary alcohol (rapid conjugation).",0.35,High risk of QT prolongation (hERG) and significant off-target CNS effects (sedation) will complicate dose escalation. Bioactivation potential raises liver safety flags.,0.6,"Efficacy at D2 is structurally guaranteed, but the therapeutic window will be non-existent due to EPS and off-target toxicity.",0.1,"Commercial viability is near zero. The safety profile (EPS, QT, Hepatotoxicity) cannot compete with modern partial agonists or cleaner atypicals.",0.021,CAUTION,"This molecule is Perphenazine, a first-generation phenothiazine antipsychotic. While the D2 antagonist mechanism is clinically validated (efficacy is guaranteed), the biological 'tax' is severe. 1) Mechanism-Based Toxicity: Full D2 antagonism in the nigrostriatal pathway guarantees Extrapyramidal Symptoms (EPS) and long-term risk of Tardive Dyskinesia. 2) Scaffold Promiscuity: The tricyclic phenothiazine core is notoriously 'dirty,' acting as a sponge for H1 (sedation/weight gain), Alpha-1 (orthostatic hypotension), and Muscarinic receptors. 3) Safety: While the dose burden is moderate (<64mg), the class carries a structural liability for QT prolongation and idiosyncratic cholestatic hepatotoxicity. This is 1950s pharmacology; it works, but it is a blunt instrument with a narrow therapeutic index compared to modern partial agonists."
Clozapine,,D2/5-HT2 antagonist,5-HT2A and D2 receptors,Schizophrenia,Approved,1989,,,approved,CNS,,approved_control,Approved controls (success),CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,QZUDBNBUXVUHMW-UHFFFAOYSA-N,135398737,OK,1989.0,94,"This molecule is a physicochemical siren. On paper, the CNS MPO profile is seductive: MW ~327 and cLogP ~3.5 constitute a 'Goldilocks' profile for BBB penetration. However, structurally, this is a 'dirty' tricyclic dibenzodiazepine scaffold. These rigid, lipophilic cores are notorious for 'GPCR Shotgunning,' hitting H1, M1, and α1 receptors with high affinity, confirming the bio-advisory's warning of metabolic syndrome and sedation. The fatal flaw, however, is the secondary amine bridge within the electron-rich tricyclic system. This moiety is a structural alert for bioactivation to reactive nitrenium ions or iminoquinone species via P450 oxidation. In a high-dose scenario (>300mg/day), this bioactivation pathway overwhelms glutathione defense, leading to covalent binding and idiosyncratic toxicity (agranulocytosis). Despite the 'Gold Standard' efficacy potential, the structural liabilities for severe toxicity and promiscuity trigger a 'Hard Kill'. Tox Summary: NOT CLEAN.",Low,"Bridge secondary amine (Nitrenium ion precursor), Chlorobenzene moiety (reactive metabolite risk), Piperazine (N-oxidation/accumulation)",0.25,High risk of QTc prolongation (hERG pharmacophore present) and early signs of neutrophil suppression due to reactive metabolites.,0.4,"Efficacy is likely high due to polypharmacology, but attrition due to severe adverse events (weight gain, sedation, orthostasis) will be significant.",0.05,Commercial viability is destroyed by the requirement for REMS/blood monitoring due to agranulocytosis risk. Only viable as a salvage therapy.,0.15,CAUTION,"The molecule is Clozapine. While the D2/5-HT2 mechanism is the 'Gold Standard' for efficacy in refractory schizophrenia, the biological cost of this specific scaffold is exorbitant. 1) Dose-Toxicity: This requires massive daily dosing (>300mg), saturating hepatic capacity and generating reactive nitrenium ion metabolites directly linked to idiosyncratic agranulocytosis and myocarditis. 2) Promiscuity: The 'dirty' receptor profile (H1, M1, α1) guarantees severe metabolic syndrome (weight gain, diabetes), sedation, and orthostasis. In a modern pipeline, the agranulocytosis liability is a near-fatal flaw; it survives only due to lack of alternatives for refractory patients."
Olanzapine,,D2/5-HT2 antagonist,5-HT2A and D2 receptors,Schizophrenia/Bipolar,Approved,1996,,,approved,CNS,,approved_control,Approved controls (success),CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,KVWDHTXUZHCGIO-UHFFFAOYSA-N,135398745,OK,1996.0,18,"From a physicochemical perspective, this structure is nearly flawless for CNS penetration. With a MW ~312 Da, cLogP ~3.0, and TPSA < 40 Å², it sits in the absolute 'Goldilocks' zone of the CNS MPO algorithm. The tricyclic thienobenzodiazepine core provides a rigid, privileged scaffold for GPCR recognition, while the N-methylpiperazine ensures solubility and the necessary basic center for receptor aspartate interaction without introducing excessive flexibility (RotBonds < 5). However, the inclusion of the thiophene ring is a classical medicinal chemistry risk; thiophenes are prone to S-oxidation and ring-opening bioactivation, potentially generating reactive electrophiles. While the methyl substitution blocks one alpha-position, the electron-rich nature of the system invites CYP-mediated metabolism (likely CYP1A2). The 'dirty' profile mentioned in the bio-advisory is structurally inherent to this tricyclic class—it is a 'GPCR Master Key' rather than a selective scalpel. Despite the bioactivation risk of the thiophene, the exceptional LipE and low clinical dose requirement (mitigating total hepatic burden) save this molecule from a harsher critique. It is a high-efficiency, albeit promiscuous, CNS agent. Tox Summary: Manageable (Low Dose).",Medium,"Thiophene ring (Bioactivation/S-oxidation risk), Aniline-like nitrogen (idiosyncratic tox risk).",0.85,Physicochemical properties are ideal for oral bioavailability and brain penetration. Low dose projection mitigates structural alerts (thiophene).,0.8,Target validation is absolute. The molecule will engage the target in the brain. Efficacy is highly probable.,0.65,"Commercial viability is strong due to efficacy, though metabolic side effects (weight gain/lipids) driven by scaffold promiscuity will require management.",0.44,ELITE,"You have submitted Olanzapine. The D2/5-HT2 antagonist mechanism is the absolute bedrock of modern antipsychotic pharmacotherapy; target validation is 100%. Unlike the graveyards of BACE1 or specific glutamatergic modulators, this mechanism works. Crucially, the clinical dose is low (5-20mg), which keeps the total hepatic burden minimal, avoiding the high-dose DILI traps seen with lower potency agents like Chlorpromazine or high-dose Gepants. The biological risk here is not efficacy failure, but the well-characterized metabolic toxicity (weight gain, dyslipidemia) driven by H1 and 5-HT2C promiscuity. This is a 'dirty' drug by design, but biologically, it is a survivor."
Quetiapine,,D2 antagonist,Dopamine D2 and 5-HT2A receptors,Schizophrenia/Bipolar,Approved,1997,,,approved,CNS,,approved_control,Approved controls (success),C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42,URKOMYMAXPYINW-UHFFFAOYSA-N,5002,OK,1997.0,72,"This molecule represents a 'chemical fossil' from the era of non-selective tricyclics. While the gross physicochemical properties (MW ~383, cLogP ~2.5, TPSA ~75) technically pass the CNS MPO filters, the structural logic is flawed for a modern NCE. The dibenzothiazepine core is a notorious 'privileged structure' for GPCR promiscuity, guaranteeing off-target hits at H1, 5-HT2A, and Alpha-1 receptors (the 'dirty' profile). The reliance on a flexible ethoxyethanol tail to modulate the lipophilicity of the tricyclic core is a weak design strategy; it acts as a metabolic soft spot (O-dealkylation) and does not fundamentally improve the Ligand Efficiency of the core scaffold. The combination of a lipophilic aromatic cluster and a basic piperazine nitrogen separated by a semi-rigid linker triggers a significant hERG structural alert. The requirement for high dosing (per advisory) confirms low Lipophilic Efficiency (LipE) and suggests the affinity is driven by 'grease' rather than specific interactions. This is a blunt instrument that relies on polypharmacology rather than precision. Tox Summary: Not Clean (High Promiscuity / hERG Risk / Metabolic Saturation).",Low,"Tricyclic Thiazepine Core (S-oxidation), Terminal Primary Alcohol (Glucuronidation/Oxidation), Piperazine (Bioactivation/N-dealkylation)",0.55,High dose burden combined with hERG pharmacophore creates a narrow safety margin. Sedation and hypotension will likely define the Maximum Tolerated Dose (MTD).,0.4,"Target engagement is likely, but the 'chemical straitjacket' side effect profile (sedation/metabolic issues) will complicate the efficacy readout and patient compliance.",0.2,Commercial viability is severely hampered by the 'dirty' profile. Modern standards demand cleaner agents without the metabolic and cardiovascular liabilities inherent to this scaffold.,0.044,CAUTION,"The target (D2) is clinically validated, avoiding the 'graveyard' designation of novel CNS targets. However, the molecule is Quetiapine (or a near-identical analog), a 'dirty' tricyclic requiring massive daily doses (300-800mg) to achieve therapeutic occupancy due to rapid clearance and moderate affinity. While D2 antagonism treats positive symptoms, this scaffold is a promiscuous binder (H1, Alpha-1, 5-HT2A), leading to a 'chemical straitjacket' profile: severe sedation, orthostatic hypotension, and significant metabolic liability (weight gain/diabetes). From a systems biology perspective, the high dose burden places unnecessary stress on hepatic clearance mechanisms (CYP3A4 saturation), increasing the risk of idiosyncratic toxicity and drug-drug interactions. It works, but it is a blunt instrument."
Risperidone,,D2/5-HT2 antagonist,5-HT2A and D2 receptors,Schizophrenia,Approved,1993,,,approved,CNS,,approved_control,Approved controls (success),CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,RAPZEAPATHNIPO-UHFFFAOYSA-N,5073,OK,1993.0,26,"This molecule exhibits near-perfect CNS physicochemical hygiene. With a cLogP ~2.7, MW ~410, and TPSA ~60, it sits squarely in the 'Goldilocks Zone' for blood-brain barrier penetration. The absence of Hydrogen Bond Donors (HBD=0) further reduces P-gp efflux liability. Chemically, the fluorinated benzisoxazole is a robust, metabolically blocked headgroup. However, the central basic piperidine nitrogen, flanked by a lipophilic benzisoxazole and a fused pyrimidinone system via an ethyl linker, creates a topology highly reminiscent of the hERG pharmacophore (Class III antiarrhythmic risk). While the 'Elite' bio-verdict and predicted low dose (<10mg) mitigate the DILI risk significantly (Rule of Two is not met), the structural alert for QT prolongation cannot be ignored in a blind audit. The aliphatic portion of the fused pyrimidinone ring is a likely site for P450 hydroxylation, potentially leading to an active metabolite. The score reflects elite chemistry penalized by the hERG structural alert and the mandatory target stigma penalty. Tox Summary: Clean (Liver) / High Risk (hERG).",Medium,"Piperidine-Ethyl-Pyrimidinone motif (hERG pharmacophore), Aliphatic ring of pyridopyrimidinone (Metabolic soft spot)",0.85,"Physicochemical properties minimize off-target promiscuity and DILI risk. Main attrition risk is hERG/QTc, but low dose provides a safety margin.",0.75,"Target mechanism is clinically validated (Gold Standard). If brain penetration matches the excellent PhysChem prediction, efficacy is highly probable.",0.4,Commercial success is tempered by the 'Historical Target Stigma' (metabolic/endocrine side effects of the class) and crowded landscape.,0.255,ELITE,"The target class (D2/5-HT2A antagonism) is the gold standard for antipsychotic efficacy; unlike BACE1 or CETP, this mechanism is clinically validated. The structure (Risperidone) exhibits high potency, allowing for a low clinical dose (<10mg/day). This low daily burden significantly reduces the risk of idiosyncratic DILI and metabolic overload on the liver. However, the biological risk is strictly mechanism-based: high affinity for D2 receptors guarantees hyperprolactinemia and a narrow window for Extrapyramidal Symptoms (EPS) if striatal occupancy exceeds 80%. While the liver is safe, the patient's endocrine system and motor control are the primary liabilities."
Sulpiride,,D2 antagonist,Dopamine D2 receptor,Schizophrenia,Approved,1969 (France),,,approved,CNS,,approved_control,Approved controls (success),CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,BGRJTUBHPOOWDU-UHFFFAOYSA-N,5355,OK,1969.0,82,"This molecule represents a physicochemical failure for a CNS indication, salvaged only by brute-force dosing. The structure violates nearly every CNS design rule: the primary sulfonamide (-SO2NH2) and amide linker contribute to a TPSA (~90 Å²) and HBD count (3) that effectively seal the Blood-Brain Barrier against passive diffusion. The cLogP is likely near zero, meaning this molecule has no business entering the brain. To achieve striatal occupancy, one would need massive systemic exposure, confirming the Bio-Advisory's warning of a 200-800mg dose requirement. This creates a 'Peripheral Sink' effect: the drug floods the pituitary (outside the BBB) while trickling into the CNS, guaranteeing hyperprolactinemia before antipsychotic efficacy is optimized. While the high polarity likely enforces renal clearance (sparing the liver), the 'Grease Tax' here is inverted: it is a 'Polarity Tax' that renders the molecule clinically obsolete compared to LipE-optimized partial agonists. Tox Summary: Not Clean (Endocrine Liability/High Burden).",High,"Primary Sulfonamide (Hypersensitivity risk), High-dose burden (Off-target saturation)",0.7,"Renal clearance profile likely spares the liver from DILI (Rule of Two not triggered), but high dose requirements may reveal off-target GI or CV issues.",0.3,Efficacy is mechanically possible but the therapeutic window is crushed by the 'Pituitary Trap'. Endocrine side effects will likely limit dosing before optimal CNS occupancy is reached.,0.1,"Commercial viability is near zero. A high-dose, side-effect-prone antagonist cannot compete with modern, high-potency partial agonists.",0.021,CAUTION,"This structure corresponds to Sulpiride, a substituted benzamide. While D2 antagonism is the bedrock of antipsychotic efficacy (validated), this specific scaffold represents a biological inefficiency nightmare. Due to low lipophilicity and poor BBB penetration, the molecule requires massive clinical doses (200mg to >800mg/day) to achieve striatal occupancy. This high systemic burden leads to the 'Pituitary Trap': the drug accumulates in the pituitary (outside the BBB) far more than the CNS, causing severe, dose-limiting hyperprolactinemia (galactorrhea, sexual dysfunction). While renal excretion spares the liver from classic DILI (saving it from a TERMINATE verdict), the endocrine toxicity profile and high pill burden render it inferior to modern D2 partial agonists."
Pimozide,,D2 antagonist,Dopamine D2 receptor,Schizophrenia/Tourette,Approved,1984,,,approved,CNS,,approved_control,Approved controls (success),C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,YVUQSNJEYSNKRX-UHFFFAOYSA-N,16362,OK,1984.0,92,"This structure is a medicinal chemistry cautionary tale. It represents the 'Grease Era' of CNS drug design, where potency was chased at the expense of all developability parameters. 1) The 'Grease Tax' here is astronomical: the bis(4-fluorophenyl)butyl tail pushes cLogP well above 6.0, obliterating Lipophilic Efficiency (LipE) and guaranteeing extensive non-specific binding and metabolic clearance (CYP3A4 sponge). 2) The structural topology is a textbook 'Hard Kill' for hERG liability: a basic piperidine nitrogen connected by a flexible 4-carbon methylene linker to a massive hydrophobic diphenyl cluster. This pharmacophore fits the hERG pore perfectly, predicting QT prolongation with near certainty. 3) While the benzimidazolinone headgroup is a privileged GPCR motif, it is attached to a scaffold that violates the Rule of Two (High LogP + Complexity) for DILI risk. 4) The Bio-Advisory confirms these structural fears (Cardiac Tox, EPS). In a modern pipeline, this NCE would be terminated in Lead Opt for safety reasons before ever reaching the clinic. It is a functional D2 antagonist, but a 'safety nightmare'. Tox Summary: NOT CLEAN (hERG, DILI, EPS).",Low,"Diphenylbutylpiperidine (hERG Pharmacophore), 4-carbon alkyl linker (Metabolic soft spot), High cLogP (Phospholipidosis/Bioaccumulation risk)",0.15,High probability of QT prolongation (hERG) and variable PK due to high lipophilicity. Modern safety margins would likely kill this NCE here.,0.45,"If safety is managed (unlikely), the D2 antagonism mechanism is validated for psychosis, guaranteeing efficacy.",0.1,Commercial viability is near zero against cleaner atypical antipsychotics due to Black Box risks (Torsades) and EPS liability.,0.00675,CAUTION,"The target (D2 receptor) is clinically validated but biologically expensive. This specific structure corresponds to Pimozide, a diphenylbutylpiperidine. While efficacy in psychosis is guaranteed, the biological cost is severe. 1) Cardiac Toxicity: This scaffold is a potent hERG blocker, leading to significant QT prolongation and risk of Torsades de Pointes (Black Box Warning territory). 2) CYP Dependency: It is heavily metabolized by CYP3A4/2D6; metabolic blockade leads to lethal accumulation. 3) Mechanism Toxicity: Pure D2 antagonism without 5-HT2A modulation guarantees Extrapyramidal Symptoms (EPS), Tardive Dyskinesia, and Hyperprolactinemia. It is a functional drug, but a safety nightmare."
Molindone,,D2 antagonist,Dopamine D2 receptor,Schizophrenia,Approved,1974,,,approved,CNS,,approved_control,Approved controls (success),CCC1=C(NC2=C1C(=O)C(CC2)CN3CCOCC3)C,KLPWJLBORRMFGK-UHFFFAOYSA-N,23897,OK,1974.0,72,"Physicochemically, this molecule is a deceptive 'CNS Ferrari'. With MW < 300, TPSA ~45, and cLogP ~2.0, it possesses elite blood-brain barrier permeability and likely high Ligand Efficiency. However, the engine is structurally compromised. The molecule features a beta-aminoketone motif (Mannich base), which is chemically liable to undergo retro-Mannich decomposition, particularly in the acidic environment of the stomach, releasing the amine and a reactive enone/methylene species. This creates a nightmare for pharmacokinetic consistency and shelf-life stability. Furthermore, the 'Old World' D2 antagonist mechanism guarantees on-target toxicity (EPS, hyperprolactinemia), which, when combined with the chemical instability, makes this a non-starter for modern development despite its potency. Tox Summary: Not Clean (Chemical Instability + Mechanism-Based Toxicity).",Low,"Mannich base (beta-aminoketone) [Retro-Mannich risk], Electron-rich pyrrole [Oxidative liability]",0.5,High risk of variable exposure due to acid instability of the Mannich base. Early signs of EPS could derail safety escalation.,0.3,"Efficacy in psychosis is mechanistically probable, but tolerability (EPS) and PK variability will drive high dropout rates compared to atypical antipsychotics.",0.1,Commercial viability is near zero. Pure D2 antagonists with stability issues cannot compete with partial agonists or dual-action modulators.,0.015,CAUTION,"The target (D2 Receptor Antagonism) is clinically validated but represents 'Old World' pharmacology. While efficacy in psychosis is guaranteed, the biological price is high: Extrapyramidal Symptoms (EPS), Tardive Dyskinesia, and Hyperprolactinemia. In the modern era, pure D2 antagonism is inferior to partial agonism or serotonin-dopamine modulation. Furthermore, the specific molecule presents a Mannich base motif (beta-amino ketone) embedded in a tetrahydroindolone scaffold. Biologically, this poses a significant stability risk (retro-Mannich reaction) in the acidic environment of the stomach or metabolic instability in the liver, leading to unpredictable pharmacokinetics. You are not killing the liver with dose burden (likely <50mg), but you are risking clinical failure due to motor toxicity and poor drug-like stability."
Thiothixene,,D2 antagonist,Dopamine D2 receptor,Schizophrenia,Approved,1967,,,approved,CNS,,approved_control,Approved controls (success),CN1CCN(CC1)CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C,GFBKORZTTCHDGY-UWVJOHFNSA-N,941651,OK,1967.0,88,"This structure represents a medicinal chemistry relic that fails modern developability criteria on multiple fronts. 1) hERG Liability (CRITICAL): The molecule features a classic hERG pharmacophore—a basic piperazine nitrogen (pKa ~8.5-9.0) linked via a flexible 3-carbon-equivalent spacer (propylidene) to a highly lipophilic, flat tricyclic aromatic anchor. This predicts high-potency hERG blockade and QTc prolongation risks. 2) Promiscuity ('The Shotgun'): The tricyclic thioxanthene core is a 'grease ball' that relies on non-specific hydrophobic interactions. While the dimethylsulfonamide attempts to modulate LogP, the core remains too lipophilic and flat to achieve selectivity, guaranteeing off-target hits at Alpha-1 (hypotension), H1 (sedation), and Muscarinic receptors. 3) CMC/Isomerism: The exocyclic double bond introduces E/Z geometric isomerism. Stereocontrol during synthesis is difficult, and in vivo isomerization is a valid concern, creating a 'ballast' of inactive isomer. 4) Bio-Advisory Integration: Salah's 30-point penalty is fully accepted. Pursuing a pure D2 antagonist with this structural liability profile in the modern era is futile. Tox Summary: NOT CLEAN (High hERG, High Promiscuity, EPS Risk).",Medium,"Thioxanthene tricyclic core (Promiscuity/Photo-tox), Exocyclic alkene (Isomerization risk), Basic N-methylpiperazine linked to lipophile (hERG).",0.3,High risk of QTc prolongation (hERG) and orthostatic hypotension (Alpha-1 off-target) likely to halt dose escalation.,0.45,"D2 antagonism is a validated mechanism for psychosis, so efficacy is likely, but the therapeutic window between antipsychotic effect and EPS/Parkinsonism will be non-existent.",0.05,Commercial viability is near zero. A 'dirty' typical antipsychotic with cardiac and motor risks cannot compete with modern partial agonists.,0.0067,CAUTION,"You have presented a thioxanthene derivative (structurally identical to Thiothixene). While D2 antagonism is the 'Gold Standard' for psychosis efficacy, this is 1960s pharmacology. 1) The Target: D2 is validated but carries a steep on-target toxicity penalty: Extrapyramidal Symptoms (EPS) and Hyperprolactinemia. You are playing with a narrow therapeutic index where efficacy sits right next to parkinsonism. 2) The Scaffold: This tricyclic core is a 'pharmacological shotgun.' It is notoriously promiscuous, likely hitting H1 (sedation/weight gain), Alpha-1 (orthostatic hypotension), and potentially hERG (QTc). 3) Clinical Reality: Developing a typical antipsychotic in the era of partial agonists and serotonin-modulators is biologically regressive. The liver burden is manageable (doses <60mg), but the CNS side-effect burden is the true attrition driver here."
Methylphenidate,,Catecholamine RI,Dopamine transporter (DAT) and Norepinephrine transporter (NET),ADHD,Approved,1955,,,approved,CNS,,approved_control,Approved controls (success),COC(=O)C(C1CCCCN1)C2=CC=CC=C2,DUGOZIWVEXMGBE-UHFFFAOYSA-N,4158,OK,1955.0,22,"This molecule is a masterclass in 'Lead-like' efficiency. With a MW of ~233 and a cLogP near 2.0, it possesses the 'Goldilocks' physicochemical profile for unhindered CNS penetration. It is barely more than a fragment, yet carries the requisite pharmacophores for high affinity. Chemically, the exposed methyl ester is typically a 'red flag' for metabolic instability, destined for rapid hydrolysis by hepatic carboxylesterases (CES1). However, integrating the Bio-Advisory, this instability is clearly a design feature ('Soft Drug' concept) rather than a bug, effectively shunting clearance away from toxicogenic P450 oxidative pathways and minimizing DILI risk. The secondary amine is basic but lacks the linker length to the aromatic ring required to trigger the hERG 'Hard Kill' alert. The only chemical blemish is the potential for short duration of action due to the ester, but the safety profile is pristine. The score includes a penalty for the 'Target Stigma' associated with catecholamine regulation, but structurally, this is elite medicinal chemistry. Tox Summary: Clean.",Low,"None (Methyl ester indicates rapid clearance, not toxicity)",0.85,"Pristine physicochemical properties and lack of structural toxicophores (anilines, nitro groups, Michael acceptors) suggest a smooth path through safety pharmacology.",0.65,High CNS penetration and validated mechanism (Catecholamine RI) drive high confidence. The main risk is PK variability due to esterase polymorphism.,0.4,"While chemically safe, the 'Target Stigma' and sympathomimetic mechanism introduce cardiovascular and abuse liability risks that cap the commercial probability.",0.22,ELITE,"You have presented Methylphenidate. From a systems biology perspective, this is a solved equation. The target (DAT/NET inhibition) is clinically validated with decades of efficacy data in ADHD and Narcolepsy. Unlike the graveyards of BACE1 or CB1, this mechanism works. Crucially, the presence of the methyl ester allows for hydrolysis by Carboxylesterase 1 (CES1) into the inactive ritalinic acid. This metabolic shunt bypasses the oxidative stress of CYP450 metabolism, rendering the DILI risk negligible despite the CNS indication. The biological risks are purely on-target: sympathomimetic cardiovascular strain and abuse liability. It is a clean, low-dose, high-efficacy molecule."
Amphetamine,,Monoamine releaser,"DAT, NET, and Vesicular monoamine transporter 2 (VMAT2)",ADHD,Approved,1937,,,approved,CNS,,approved_control,Approved controls (success),CC(CC1=CC=CC=C1)N,KWTSXDURSIMDCE-UHFFFAOYSA-N,3007,OK,1937.0,78,"This submission is essentially a 'naked' pharmacophore rather than a fully optimized drug candidate. With a MW < 150 Da, this alpha-methyl phenethylamine is a fragment that lacks the auxiliary binding elements required for modern kinase or GPCR selectivity. While the physicochemical properties (cLogP ~1.8, TPSA ~26) are ideal for rapid CNS penetration, this 'unrestricted access' combined with a promiscuous mechanism guarantees the severe on-target toxicities flagged in the Bio-Advisory. The alpha-methyl group serves as a metabolic shield against MAO, extending half-life, but this modification is synonymous with sympathomimetic cardiovascular risks (hypertension, tachycardia) and abuse liability. In a modern pipeline, we would view this as a starting point for elaboration, not a clinical candidate. The 30-point penalty is applied for the immense regulatory friction (Scheduling) and safety margins. Tox Summary: Not Clean (CV/CNS Liability).",Medium,"Primary amine (conjugation risk), Alpha-methyl phenethylamine backbone (Sympathomimetic/CV liability)",0.5,"Bioavailability will be excellent, but Phase 1 will be a minefield of dose-limiting cardiovascular events (pressor effects) and CNS over-stimulation.",0.4,"Efficacy is chemically guaranteed by the scaffold, but the therapeutic index will be razor-thin due to the 'sledgehammer' nature of the mechanism.",0.1,"Even if efficacy is proven, the commercial reality of a Schedule II asset with significant abuse liability and CV risk creates a massive barrier to entry.",0.02,CAUTION,"The structure corresponds to Amphetamine. While the mechanism (VMAT2 inhibition/TAAR1 agonism) is clinically validated with high efficacy for ADHD and Narcolepsy, the biological cost is severe on-target toxicity. The sympathomimetic profile guarantees cardiovascular liability (hypertension, tachycardia), and the direct stimulation of the mesolimbic reward pathway creates extreme abuse liability (Schedule II). While the low therapeutic dose (<30mg) minimizes DILI risk, the regulatory friction and CNS/CV safety margins make this a high-maintenance asset."
