compound,Alias,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,isomeric,inchikey,cid,status,year_clean,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob V20,P1 Rationale V20,P2 Prob V20,P2 Rationale V20,P3 Prob V20,P3 Rationale V20,TCSP V20
Ubrogepant,,CGRP antagonist,CGRP receptor,Migraine,Approved,2019,,,approved,CNS,,approved_control,Approved controls (success),C[C@@H]1[C@@H](C[C@@H](C(=O)N1CC(F)(F)F)NC(=O)C2=CC3=C(C[C@@]4(C3)C5=C(NC4=O)N=CC=C5)N=C2)C6=CC=CC=C6,DDOOFTLHJSMHLN-ZQHRPCGSSA-N,68748835,OK,2019.0,38,"This molecule is a masterclass in modern 'Beyond Rule of 5' medicinal chemistry. It utilizes a complex spiro-azaindoline core fused to a pyridine to enforce a rigid, bioactive conformation, maximizing potency without relying on 'grease'. While the Molecular Weight (~600 Da) is a significant violation of traditional rules, the high fraction of sp3 carbons (Fsp3) and moderate lipophilicity (cLogP ~3.0) prevent it from becoming an insoluble 'Brick'. The absence of a basic amine (pKa < 7) effectively eliminates hERG liability. The TPSA (~100 Å²) and high MW suggest limited blood-brain barrier penetration, likely targeting a peripheral or ganglionic GPCR. The primary critique is the extreme structural complexity (multiple stereocenters), which creates a 'Process Chemistry Nightmare' but offers elite selectivity. Tox Summary: Clean.",High,None identified,0.9,"pristine structural hygiene; no hERG pharmacophore, no obvious metabolic soft spots or bioactivation alerts.",0.6,"High potency expected from rigidification. Main risk is oral bioavailability due to MW > 500, but polarity balance is favorable.",0.4,Clean safety profile supports chronic dosing. Synthesis costs (COGS) due to chirality are the only commercial drag.,0.216
Rimegepant,,CGRP antagonist,CGRP receptor,Migraine,Approved,2020,,,approved,CNS,,approved_control,Approved controls (success),C1C[C@H](C2=C(C=CC=N2)[C@H]([C@@H]1C3=C(C(=CC=C3)F)F)N)OC(=O)N4CCC(CC4)N5C6=C(NC5=O)N=CC=C6,KRNAOFGYEFKHPB-ANJVHQHFSA-N,51049968,OK,2020.0,22,"This molecule is a masterclass in 'Escaping Flatland' but pays a heavy tax in Molecular Weight (>530 Da) and synthetic complexity. The scaffold—a fused cyclohepta[b]pyridine with three contiguous chiral centers—is a CMC nightmare that likely justifies itself only through extreme potency and selectivity. The high Fsp3 fraction is excellent for solubility and off-target safety, mitigating the 'Brick' risk of the high MW. The metabolic soft spots are well-hardened (difluorophenyl, cyclic urea tail), and the carbamate linker is robust. The primary amine is the sole ionization center, critical for bioavailability. TPSA (~110 Å²) is high for passive CNS entry, suggesting a peripheral target or a reliance on specific transporters. It is a 'Heavy' but high-fidelity candidate. Tox Summary: Clean.",High,None identified,0.85,Clean structural alerts. High Fsp3 correlates with lower promiscuity/toxicity. No obvious hERG pharmacophore (basic center is sterically crowded and polar surface is high).,0.65,"Likely high potency due to complex 3D fit. Bioavailability might be the main hurdle due to MW, but the carbamate/amine balance suggests acceptable ADME.",0.4,Main risk is Cost of Goods (COGS) due to the chiral cycloheptane core and commercial competition in the oral space.,0.22
Atogepant,,CGRP antagonist,CGRP receptor,Migraine,Approved,2021,,,approved,CNS,,approved_control,Approved controls (success),C[C@@H]1[C@@H](C[C@@H](C(=O)N1CC(F)(F)F)NC(=O)C2=CC3=C(C[C@@]4(C3)C5=C(NC4=O)N=CC=C5)N=C2)C6=C(C=CC(=C6F)F)F,QIVUCLWGARAQIO-OLIXTKCUSA-N,72163100,OK,2021.0,28,"This molecule is a structural 'Tour de Force' that pushes the boundaries of the Rule of 5 (bRo5) to achieve selectivity. The scaffold features high 3D complexity (Fsp3) via a spiro-fused azaindolinone and a densely substituted chiral piperidinone, which likely rescues solubility despite the high molecular weight (>500). The 'Fluorine Budget' is maxed out (6 F atoms), utilizing a trifluoroethyl group and a poly-fluorinated phenyl ring to aggressively block metabolic hotspots, though this incurs a significant 'Grease Tax'. While the absence of a basic amine minimizes hERG risk, the combination of high MW, lipophilicity, and structural complexity places it in the 'Rule of Two' danger zone for DILI if the clinical dose is high (>100mg). It is a potent, metabolically hardened binder that sacrifices synthetic efficiency for biological precision. Tox Summary: Clean.",High,None (Clean),0.85,Excellent structural hygiene. Lack of basic centers (hERG safety) and reactive warheads suggests a smooth safety profile.,0.6,High complexity implies high specificity and potency. The main risk is ADME (permeability/bioavailability) due to the 'Molecular Obesity' (MW > 500).,0.4,Chronic safety is the hurdle. The physicochemical profile (High MW + Lipophilicity) is statistically correlated with DILI/transporter liabilities.,0.2
Lasmiditan,,5-HT1F agonist,5-HT1F receptor,Migraine,Approved,2019,,,approved,CNS,,approved_control,Approved controls (success),CN1CCC(CC1)C(=O)C2=NC(=CC=C2)NC(=O)C3=C(C=C(C=C3F)F)F,XEDHVZKDSYZQBF-UHFFFAOYSA-N,11610526,OK,2019.0,18,"This is a textbook example of CNS-focused medicinal chemistry. The molecule possesses an elite CNS MPO profile: MW < 400, moderate lipophilicity (cLogP ~2.5-3.0), and low TPSA (~60 Å²), ensuring high probability of blood-brain barrier penetration. The central pyridine scaffold serves as a rigid, low-MW spacer, effectively orienting the solubilizing basic center (N-methylpiperidine) away from the lipophilic 'warhead' (trifluorophenyl). The heavy fluorination on the phenyl ring is a strategic masterstroke, simultaneously blocking metabolic soft spots (preventing arene oxidation) and modulating the electronic character of the amide. The primary developability risk is hERG inhibition, as the structure fits the classic 'Basic Amine-Linker-Lipophilic Tail' pharmacophore; however, the rigidity of the core may reduce the entropic penalty of binding or prevent the specific conformation required for channel blockade. Metabolic clearance will be dominated by N-demethylation of the piperidine. Tox Summary: Clean.",High,None,0.85,"Structure is chemically clean with no reactive toxicophores (anilines, hydrazines, Michaels). High stability expected. Main safety exclusion criteria will be hERG margins.",0.6,Superior physicochemical properties (LipE) maximize the chance of achieving therapeutic free drug concentrations in the CNS without excessive dosing.,0.35,"While CNS indications have high attrition, this molecule's 'hardened' structure minimizes off-target toxicity and metabolic idiosyncrasies.",0.1785
Eszopiclone,,Z-drug (GABA-A modulator),"GABA_A receptor (non-selective PAM at _1_,_2_,_3_,_5_)",Insomnia,Approved,2004,,,approved,CNS,,approved_control,Approved controls (success),CN1CCN(CC1)C(=O)O[C@H]2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,GBBSUAFBMRNDJC-INIZCTEOSA-N,969472,OK,2004.0,15,"This structure is a textbook example of high-fidelity CNS medicinal chemistry. The physicochemical profile is nearly flawless for brain penetration: MW < 450, cLogP ~1.5-2.0, and crucially, a Hydrogen Bond Donor (HBD) count of zero. The rigid pyrrolo[3,4-b]pyrazine core serves as an excellent scaffold, reducing the entropic penalty of binding while orienting the chloropyridine and piperazine vectors with precision. The chloropyridine moiety adds necessary lipophilicity for receptor affinity without incurring a heavy 'Grease Tax'. The N-methylpiperazine tail provides a basic center (pKa ~8.5) which guarantees solubility and likely drives lysosomal trapping, although it represents the primary site for metabolic N-demethylation. The central chiral hemiaminal-carbamate linkage is chemically daring; while theoretically susceptible to hydrolysis (acid lability), the cyclic constraint likely stabilizes the motif sufficiently for oral bioavailability. hERG risk is present due to the basic amine/aromatic pairing but is significantly mitigated by the molecule's low overall lipophilicity and polar surface area. Tox Summary: Clean.",Medium,"None identified (N-methylpiperazine is a metabolic soft spot, not a toxicophore).",0.85,"Superior drug-like properties (solubility, permeability) and lack of 'hard kill' toxicophores suggest a high likelihood of passing safety pharmacology.",0.65,Excellent CNS MPO scores imply high probability of target engagement in the brain. Success rests entirely on the biological hypothesis.,0.45,"Long-term safety looks promising, though CNS-specific side effects (sedation, dependency) could be regulatory hurdles depending on the target profile.",0.85
Zaleplon,,Z-drug (GABA-A modulator),GABA_A receptor (_1_-subunit selective PAM),Insomnia,Approved,1999,,,approved,CNS,,approved_control,Approved controls (success),CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C,HUNXMJYCHXQEGX-UHFFFAOYSA-N,5719,OK,1999.0,22,"This molecule is a masterclass in CNS physicochemical design. With a molecular weight ~305 Da, cLogP ~2.0, and zero Hydrogen Bond Donors (HBD), it is engineered for rapid and complete blood-brain barrier penetration. The Lipophilic Efficiency (LipE) potential here is elite. However, the pyrazolo[1,5-a]pyrimidine core, specifically with the unsubstituted positions on the pyrimidine ring, is a notorious substrate for Aldehyde Oxidase (AO). This creates a significant risk of rapid metabolic clearance and species-dependent pharmacokinetics (the 'AO hole'). Additionally, the N-ethyl group on the amide is a metabolic handle for dealkylation. While the tertiary amide mitigates the aniline toxicity risk, the molecule is likely to have a very short half-life. Excellent for acute indications (e.g., hypnotics), but a liability for chronic once-daily dosing. Structurally clean otherwise. Tox Summary: Clean.",Low,"N-ethyl-N-phenylacetamide (aniline precursor upon hydrolysis), Pyrazolo-pyrimidine core (AO substrate)",0.9,Pristine physicochemical profile and lack of 'hard kill' toxicophores suggest excellent safety and tolerability in Phase 1.,0.55,High probability of target engagement in the CNS. The main risk is PK/PD disconnect due to rapid clearance (AO/CYP) limiting duration of action.,0.35,"Commercial viability depends strictly on the indication matching the short half-life profile. If chronic coverage is needed, this fails.",0.17
Suvorexant,,Orexin receptor antagonist,OX1 and OX2 receptors,Insomnia,Approved,2014,,,approved,CNS,,approved_control,Approved controls (success),C[C@@H]1CCN(CCN1C(=O)C2=C(C=CC(=C2)C)N3N=CC=N3)C4=NC5=C(O4)C=CC(=C5)Cl,JYTNQNCOQXFQPK-MRXNPFEDSA-N,24965990,OK,2014.0,12,"This molecule represents a masterclass in CNS-focused medicinal chemistry design, exhibiting near-optimal physicochemical properties for blood-brain barrier penetration. The central 1,4-diazepane scaffold serves as a non-planar core, effectively disrupting molecular symmetry and preventing 'brick dust' insolubility despite a relatively high lipophilicity (cLogP ~3.8-4.2). The inclusion of a chiral methyl group on the diazepane ring is a high-fidelity tactic to restrict conformational entropy and potentially shield the ring from oxidative metabolism. 

The flanking heterocycles are chosen with precision: the 2-benzoxazolyl group acts as a lipophilic anchor without introducing basicity (avoiding lysosomal trapping), while the 1,2,3-triazole serves as a non-classical bioisostere for an amide or heterocycle, providing a strong dipole moment for binding efficacy without the penalty of Hydrogen Bond Donors (HBD = 0). This zero-HBD profile, combined with a TPSA < 80 Å², predicts exceptional passive permeability.

The only critique is the 'Grease Tax': the molecule relies heavily on hydrophobic interactions (chloro-benzoxazole, methyl-phenyl), pushing the boundaries of LipE. The benzylic methyl group on the phenyl ring is a glaring metabolic soft spot (likely CYP3A4 site), which will dictate the half-life. However, the absence of toxicophores and the clean structural alerts make this an elite candidate. Tox Summary: Clean.",Medium,"None identified. Benzylic methyl is a metabolic liability, not a toxicophore.",0.88,"pristine structural hygiene; no hERG pharmacophore (lack of basic center), no Michael acceptors, and no obvious MBI triggers.",0.65,Excellent CNS MPO scores suggest high probability of target engagement in the brain. Efficacy will depend on potency/dose ratio given the metabolic liability.,0.45,Clean safety profile expected. Main risk is competitive landscape or rare idiosyncratic events linked to high lipophilicity.,0.26
Lemborexant,,Orexin receptor antagonist,OX1 and OX2 receptors,Insomnia,Approved,2019,,,approved,CNS,,approved_control,Approved controls (success),CC1=NC(=NC=C1OC[C@]2(C[C@H]2C(=O)NC3=NC=C(C=C3)F)C4=CC(=CC=C4)F)C,MUGXRYIUWFITCP-PGRDOPGGSA-N,56944144,OK,2019.0,15,"This is a textbook example of 'MedChem 2.0' CNS design, utilizing a rigid sp3-rich cyclopropane core to vector aromatic pharmacophores into specific 3D space. This minimizes the entropic penalty of binding compared to flexible linkers. The physicochemical profile is strictly CNS-compliant (MW ~410, TPSA ~77, HBD 1, cLogP ~3.8). The use of fluorine on both the phenyl and pyridine rings strategically blocks metabolic hotspots (para-oxidation), enhancing metabolic stability. The absence of a strong basic center (pKa < 7) significantly de-risks hERG liability and phospholipidosis. The primary developability risk lies in the oxidative clearance of the pyrimidine methyl groups (benzylic-like oxidation) and potential solubility limitations due to the flat aromatic 'wings', though the chiral kink helps disrupt crystal packing. Overall, a highly optimized NCE.",Medium,"None (Clean). Methyl-pyrimidine moiety is a clearance liability, not a tox liability.",0.85,Clean structural alerts. No hERG pharmacophore. High likelihood of safety margins.,0.6,Excellent CNS penetration predicted (MPO > 5). Rigid core suggests high ligand efficiency and potency.,0.4,Strong developability profile. Main risks are commercial (differentiation) rather than chemical failure.,0.8
Ramelteon,,Melatonin MT1/MT2 agonist,MT1 and MT2 receptors,Insomnia,Approved,2005,,,approved,CNS,,approved_control,Approved controls (success),CCC(=O)NCC[C@@H]1CCC2=C1C3=C(C=C2)OCC3,YLXDSYKOBKBWJQ-LBPRGKRZSA-N,208902,OK,2005.0,12,"This molecule is a masterclass in CNS property space compliance (CNS MPO > 5.5). With a MW ~260 and cLogP ~2.5, it sits squarely in the 'Goldilocks' zone for blood-brain barrier penetration, avoiding both the 'Grease Tax' and the 'Brick' penalty. The absence of a basic amine eliminates the primary pharmacophore for hERG inhibition, drastically reducing cardiac safety risk—a rare luxury in CNS medicinal chemistry. The tricyclic core (tetrahydro-indeno-furan system) provides a rigid, hydrophobic anchor that maximizes binding enthalpy while minimizing entropic penalties (RotBonds < 5). However, this scaffold is a potential substrate for CYP1A2 due to its planarity and lipophilicity; the benzylic carbons on the cyclopentane ring and the methylene adjacent to the furan oxygen are metabolic soft spots that may drive high clearance and a short half-life. The propionamide motif is generally stable but represents the primary polar handle. Overall, this is an elite 'Lead-Like' structure with minimal structural toxicity alerts. Tox Summary: Clean.",Medium,None (Benzylic oxidation sites present but not toxicophores),0.88,Exceptional physicochemical profile and lack of hERG pharmacophore (no basic amine) suggest a smooth path through Phase 1 safety.,0.6,High CNS penetration and likely high target occupancy. Main risk is short half-life requiring frequent dosing.,0.4,Clean safety profile reduces late-stage attrition risks significantly compared to typical CNS agents.,0.21
Fingolimod,,S1P receptor modulator,"Sphingosine-1-phosphate receptors (S1P1, S1P3, S1P4, S1P5)",Multiple sclerosis,Approved,2010,,,approved,CNS,,approved_control,Approved controls (success),CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,KKGQTZUTZRNORY-UHFFFAOYSA-N,107970,OK,2010.0,78,"This molecule is a textbook example of 'Lazy Potency' derived purely from lipophilicity. The structure features a massive 'Grease Handle' (octyl-phenyl-propyl) attached to a polar cationic headgroup, creating a potent surfactant rather than a drug. 1) **The Grease Tax**: The cLogP is dangerously high (est. >5.0), driven by the flexible C8 chain and propyl linker. This guarantees high non-specific binding, poor LipE, and metabolic vulnerability (omega-oxidation zipper). 2) **Safety Alerts**: The architecture (Basic Amine + Spacer + Hydrophobic Cluster) is a screaming hERG pharmacophore. Furthermore, the Cationic Amphiphilic Drug (CAD) profile ensures lysosomal trapping, high volume of distribution, and a significant risk of phospholipidosis. 3) **Developability**: While the MW is low, the 'Soap' nature of the molecule suggests it will dissolve cell membranes before it engages a target selectively. In a modern campaign, the aliphatic tail would be rejected for a rigidified, lower logP bioisostere immediately. Tox Summary: Not Clean.",Low,"Long aliphatic chain (C8) [Metabolic Liability], Cationic Amphiphilic Motif [Phospholipidosis/hERG Risk], Primary Amine [Bioactivation potential]",0.3,High risk of QT prolongation (hERG) and bradycardia/heart block given the CAD profile. First-dose monitoring likely required.,0.2,Efficacy likely driven by non-specific lipid interaction or lysosomal accumulation rather than specific target engagement. PK will show massive tissue trapping.,0.05,Chronic dosing of a surfactant-like CAD with a flexible alkyl tail is a recipe for liver/lung toxicity (phospholipidosis) and off-target cardiovascular events.,0.25
Siponimod,,S1P receptor modulator,S1P1 and S1P5 receptors,Multiple sclerosis,Approved,2019,,,approved,CNS,,approved_control,Approved controls (success),CCC1=C(C=CC(=C1)/C(=N/OCC2=CC(=C(C=C2)C3CCCCC3)C(F)(F)F)/C)CN4CC(C4)C(=O)O,KIHYPELVXPAIDH-HNSNBQBZSA-N,44599207,OK,2019.0,35,"This molecule is a classic example of 'Molecular Obesity' (MW > 500) salvaged by a zwitterionic headgroup. The structure features a highly lipophilic 'grease tail' (cyclohexyl + trifluoromethyl + phenyls) which undoubtedly drives potency but pushes cLogP well into the danger zone (>5). The incorporation of the azetidine-3-carboxylic acid is the critical design element: it creates a zwitterion that masks the intrinsic lipophilicity, improves solubility, and likely mitigates hERG binding by neutralizing the pharmacophore. However, the oxime ether linker adds unnecessary rotational freedom and molecular weight. The cyclohexyl ring is a massive metabolic soft spot (hydroxylation sponge), likely driving clearance. While the zwitterion strategy is elegant, the underlying scaffold is heavy and relies on 'grease' for affinity, violating LipE principles. Tox Summary: Manageable, but watch for Phospholipidosis and Cardiac effects.",Medium,"Oxime ether (hydrolysis risk), Azetidine ring (strain/ring opening), Cyclohexyl group (extensive oxidative metabolism)",0.75,"Zwitterionic character reduces hERG risk significantly despite the lipophilic tail. However, mechanism-based cardiac effects (bradycardia) or phospholipidosis (CAD-like structure) remain concerns.",0.55,"High potency is expected given the lipophilic drivers. The zwitterion should facilitate reasonable exposure, though the high MW may limit CNS penetration if that is the target (likely peripheral/lymphoid target given the acid).",0.3,"If safety profiles in P1 are clean, the efficacy rationale is strong. The main attrition risk is long-term safety related to the high lipophilic burden (DILI/accumulation).",0.12
Ozanimod,,S1P receptor modulator,S1P1 and S1P5 receptors,Multiple sclerosis,Approved,2020,,,approved,CNS,,approved_control,Approved controls (success),CC(C)OC1=C(C=C(C=C1)C2=NC(=NO2)C3=C4CC[C@@H](C4=CC=C3)NCCO)C#N,XRVDGNKRPOAQTN-FQEVSTJZSA-N,52938427,OK,2020.0,22,"This molecule exhibits the hallmarks of a late-stage clinical candidate, specifically targeting a GPCR with a lipid-binding pocket (likely S1P or similar). The scaffold utilizes a 1,2,4-oxadiazole as a stable bioisostere for a labile amide/ester, linking a lipophilic 'tail' (isopropoxy-benzonitrile) to a polar 'head' (amino-indane). 

Positives: The use of the indane ring to rigidify the phenethylamine pharmacophore is excellent medicinal chemistry, reducing entropic penalty upon binding. The MW (~405) and cLogP (~3.2) are in the sweet spot for oral bioavailability. 

Negatives/Risks: 
1. **Cationic Amphiphilic Drug (CAD) Profile**: The combination of a lipophilic biaryl system and a basic secondary amine (pKa ~8.5-9.0) creates a high risk for phospholipidosis (lysosomal trapping) and hERG inhibition. This is a classic 'hERG Pharmacophore' (Aromatic-Linker-Base). 
2. **Bioactivation**: The aminoethanol tail is a prime substrate for endogenous kinases. While this may be the intended mechanism (prodrug to zwitterion), if unintended, it represents a significant off-target liability and metabolic sink. 
3. **Metabolic Hotspots**: The benzylic carbons on the indane ring are susceptible to P450-mediated hydroxylation. 

Overall, a highly polished structure, but one that requires rigorous cardiac safety monitoring.",Medium,"Aminoethanol moiety (kinase substrate/bioactivation), Secondary amine (hERG/Phospholipidosis risk), Benzylic methylene (oxidation prone).",0.85,"High likelihood of passing Phase 1 due to clean physicochemical properties, provided the hERG margin is sufficient. The structure is well-optimized for ADME.",0.6,Target engagement should be high due to the rigidified scaffold. The main risk is efficacy-to-safety window regarding cardiac conduction (bradycardia) common to this chemotype.,0.4,Commercial viability depends on differentiation from competitors and long-term safety profile (liver/heart) associated with the CAD nature of the molecule.,0.88
Teriflunomide,,DHODH inhibitor,Dihydroorotate dehydrogenase (DHODH),Multiple sclerosis,Approved,2012,,,approved,CNS,,approved_control,Approved controls (success),C/C(=C(\C#N)/C(=O)NC1=CC=C(C=C1)C(F)(F)F)/O,UTNUDOFZCWSZMS-YFHOEESVSA-N,54684141,OK,2012.0,42,"This molecule is a paradox: elite Ligand Efficiency (MW < 300) marred by significant structural liabilities. The core is a vinylogous acid (alpha-cyano-beta-hydroxy acrylamide), likely exhibiting a pKa ~5-6. While this ionization aids solubility, it typically drives extreme Plasma Protein Binding (>99%) and, in conjunction with the metabolically robust 4-trifluoromethylphenyl 'grease' shield, suggests a pharmacokinetic profile characterized by exceptionally long half-life and enterohepatic recirculation (EHC). The amide linkage is a latent liability; hydrolysis releases 4-trifluoromethylaniline, a known toxicophore with methemoglobinemia and hepatotoxicity risks. Furthermore, the alpha-cyano enol motif sits uncomfortably close to Michael acceptor reactivity space—while electronically deactivated by the hydroxyl, it remains a concern for idiosyncratic covalent adduct formation. It is a potent, rigid binder that will likely accumulate in the patient, making washout periods a clinical nightmare. Tox Summary: Not Clean (Aniline release + Reactivity risk).",High,"Alpha-cyano enol (Michael acceptor precursor), 4-trifluoromethylaniline (hydrolysis product), Nitrile moiety",0.8,Physicochemical properties are within the 'Goldilocks' zone for oral bioavailability. The primary risk in Phase 1 is unexpected accumulation due to the predicted long half-life.,0.5,"Potency per atom is likely high (High LE). However, the safety window will be constrained by the potential for off-target reactivity and the release of the aniline metabolite.",0.2,"Chronic dosing reveals the flaws: DILI risks from the aniline/accumulation, reproductive toxicity concerns common to this scaffold, and the logistical difficulty of managing a drug that refuses to leave the body.",0.25
Apixaban,,Factor Xa inhibitor,Activated Factor X (FXa),Anticoagulation,Approved,2012,,,approved,Cardiovascular,,approved_control,Approved controls (success),COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,QNZCBYKSOIHPEH-UHFFFAOYSA-N,10182969,OK,2012.0,12,"This structure is a masterclass in 'Goldilocks' medicinal chemistry, aggressively optimizing LipE while avoiding the common traps of basicity. By eschewing a basic amine center, the design virtually eliminates hERG liability and phospholipidosis risk—a rare feat for a molecule of this complexity. The cLogP (estimated ~2.0) is pristine, sitting perfectly in the oral bioavailability sweet spot. The rigid, fused bicyclic core minimizes entropic penalties upon binding. However, the molecule is flirting with 'Molecular Obesity' (MW ~460) and the high polarity (TPSA > 100) combined with planarity suggests a 'Brick Dust' profile (solubility-limited absorption). The p-methoxyphenyl moiety is a predictable metabolic soft spot (O-demethylation), likely dictating the clearance profile. The primary amide is a high-risk/high-reward feature: excellent for specificity (H-bond donor), but a potential liability for permeability and hydrolytic stability. Overall, this is an elite NCE that prioritizes safety and efficacy over ease of formulation. Tox Summary: Clean.",Medium,"p-Methoxyphenyl (potential for quinone-methide formation post-demethylation, though low risk due to pyrazole electron withdrawal)",0.92,Exceptional safety profile designed into the scaffold. Lack of basic center removes hERG risk. Neutral character reduces off-target promiscuity.,0.75,High rigidity and optimized LipE suggest potent target engagement. Main risk is PK variability due to solubility or CYP polymorphism on the methoxy group.,0.6,"If efficacy is validated, the clean safety profile supports chronic dosing. Commercial viability is high due to lack of obvious idiosyncratic tox triggers.",0.41
Rivaroxaban,,Factor Xa inhibitor,Activated Factor X (FXa),Anticoagulation,Approved,2011,,,approved,Cardiovascular,,approved_control,Approved controls (success),C1COCC(=O)N1C2=CC=C(C=C2)N3C[C@@H](OC3=O)CNC(=O)C4=CC=C(S4)Cl,KGFYHTZWPPHNLQ-AWEZNQCLSA-N,9875401,OK,2011.0,18,"This structure represents a masterclass in property-based drug design, specifically in managing the 'Grease Tax'. The molecule utilizes a morpholin-3-one and an oxazolidin-2-one to introduce significant polarity, keeping the cLogP in the elite range (~1.5) despite the presence of three aromatic/heteroaromatic ring systems. This suggests high Lipophilic Efficiency (LipE) if potency is maintained. 

Crucially, the molecule lacks any basic amine (all nitrogens are amides, carbamates, or lactams), which effectively zeroes out the hERG liability score—a rare feat for multi-ring systems. 

The primary structural liability lies in the 5-chlorothiophene tail. While the chlorine atom cleverly blocks the metabolically labile alpha-position and reduces electron density (mitigating electrophilic attack), thiophenes are notorious for bioactivation via S-oxidation or epoxidation, leading to potential idiosyncratic toxicity. Additionally, the oxazolidinone core carries a class-effect warning for mitochondrial toxicity (protein synthesis inhibition) and potential MAO interaction, though the N-aryl substitution pattern differs from typical antibiotics. Overall, this is a highly developable, 'brick-dust' limited scaffold with excellent oral bioavailability potential. Tox Summary: Clean, with specific monitoring required for thiophene-induced DILI.",High,"5-chlorothiophene (Bioactivation/S-oxidation risk), Oxazolidinone core (Mitochondrial toxicity/MAO inhibition potential)",0.85,"Absence of basic centers eliminates hERG risk. Physicochemical properties (low LogP, MW < 450) predict excellent safety margins and pharmacokinetics.",0.65,"High oral bioavailability and metabolic stability suggest good target coverage. Efficacy risk is standard, but the scaffold is rigid and pre-organized.",0.45,Main attrition risk is idiosyncratic toxicity from the thiophene moiety or off-target mitochondrial effects appearing in chronic dosing.,0.88
Dabigatran,,Direct thrombin inhibitor,Thrombin (Factor IIa),Anticoagulation,Approved,2010,,,approved,Cardiovascular,,approved_control,Approved controls (success),CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N,YBSJFWOBGCMAKL-UHFFFAOYSA-N,216210,OK,2010.0,42,"This is a textbook example of a 'High Affinity, Zero Permeability' trap. The structure features a classic serine protease inhibitor motif (benzamidine) acting as an arginine mimic, paired with a solvent-exposed carboxylic acid tail. While the Lipophilic Efficiency (LipE) is likely elite due to potent electrostatic interactions and low cLogP (estimated < 1.0), the molecule is a zwitterionic nightmare. The combination of a strong base (amidine pKa ~11.5) and an acid ensures the molecule is charged at all physiological pHs, resulting in a TPSA > 130 and negligible oral bioavailability (BCS Class III/IV). The secondary aniline linker is electronically stabilized by the para-amidine, reducing oxidative risks, and the scaffold is rigid. However, as an oral NCE, this is a non-starter without a double-prodrug strategy to mask the charges. It is a potent IV tool compound, not a drug. Tox Summary: Clean.",High,"Benzamidine (Permeability liability), Carboxylic Acid (Acyl Glucuronidation risk)",0.85,"High polarity and low lipophilicity minimize off-target binding and hERG risk. Safety profile likely clean, driven by on-target bleeding risk.",0.25,"Target engagement will be excellent, but oral exposure will be non-existent. Fails P2 for efficacy due to PK collapse unless administered IV.",0.1,"Chronic anticoagulation requires oral dosing. Without a prodrug formulation, this structure is commercially unviable.",0.35
Edoxaban,,Factor Xa inhibitor,Activated Factor X (FXa),Anticoagulation,Approved,2015,,,approved,Cardiovascular,,approved_control,Approved controls (success),CN1CCC2=C(C1)SC(=N2)C(=O)N[C@@H]3C[C@H](CC[C@@H]3NC(=O)C(=O)NC4=NC=C(C=C4)Cl)C(=O)N(C)C,HGVDHZBSSITLCT-JLJPHGGASA-N,10280735,OK,2015.0,38,"This molecule is a 'Molecular Battleship'—heavy (MW ~548), structurally baroque (3 contiguous stereocenters), and laden with polar artillery (TPSA >120). It flagrantly violates the Rule of 5, classifying it as a 'Brick' that relies entirely on potency to justify its existence. The high TPSA and MW strictly confine this to the periphery; CNS penetration is effectively zero. The core N-methyl-tetrahydrothienopyridine is a metabolic hotspot (N-demethylation, S-oxidation) and carries historical baggage regarding bioactivation/idiosyncratic toxicity, although the amide substitution likely mitigates the ring-opening risk seen in related prodrugs. The oxamide linker is an interesting bioisostere for rigidity, avoiding the 'Grease Tax' but contributing to the poor passive permeability. The 5-chloropyridine tail is a robust metabolic block. While the complexity suggests high selectivity (likely nanomolar affinity), the developability is marred by high synthesis costs (chiral resolution) and reliance on transporters (likely P-gp) for oral absorption. Tox Summary: Clean, but metabolically burdened.",Medium,"Tetrahydrothienopyridine (Bioactivation/S-oxidation risk), N-methyl group (N-demethylation liability)",0.85,"No 'Hard Kill' toxicophores (nitro, furan, aniline) detected. hERG risk is present due to the basic amine and MW, but mitigated by high polarity.",0.55,"Efficacy is likely high due to structural complexity/fit, but ADME is the failure mode. Oral bioavailability will be a struggle without active transport.",0.4,Commercial viability is threatened by the cost of goods (COGS) for the tri-chiral cyclohexane core and competition from simpler chemotypes.,0.72
